run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_min,range20_max,range60_max,volr_min,volr_max,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,rank60_min,rank120_min,breakout_lb,breakout_buffer,breakout_body_atr_min,breakout_body_atr_max,breakout_close_pos_min,breakout_upper_wick_max,breakout_volr_min,follow_delay,follow_ret_min,follow_close_pos_min,follow_no_big_wick,ema20_pos_min,ema50_pos_min,require_ema_stack,no_rsi_max,fail_bars,fail_pnl,trail_r,trail_atr,verdict,note
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_001_LB20_S75_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12241,3796,8445,31.01053835470958,-20.201001064296896,0.0,56.02338252285202,43.97661747714798,597,0,0.01,0.0004,0.08,LBF_A_001_LB20_S75_RR180,0.75,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_002_LB20_S75_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12236,3168,9068,25.89081399150049,-19.489852633814607,0.0,58.476843528248644,41.523156471751356,597,0,0.01,0.0004,0.08,LBF_A_002_LB20_S75_RR240,0.75,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_003_LB20_S75_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12229,2757,9472,22.544770627197643,-19.389186506391663,0.0,59.98293383529396,40.01706616470604,597,0,0.01,0.0004,0.08,LBF_A_003_LB20_S75_RR300,0.75,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_004_LB20_S90_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12233,3873,8360,31.66026322243113,-18.40964637035064,0.0,60.72039760884227,39.27960239115773,597,0,0.01,0.0004,0.08,LBF_A_004_LB20_S90_RR180,0.9,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_005_LB20_S90_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12225,3253,8972,26.609406952965237,-18.407442552056207,0.0,63.11469284402751,36.88530715597249,597,0,0.01,0.0004,0.08,LBF_A_005_LB20_S90_RR240,0.9,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_006_LB20_S90_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12217,2898,9319,23.721044446263402,-18.527233055289262,0.0,64.38595061465419,35.6140493853458,597,0,0.01,0.0004,0.08,LBF_A_006_LB20_S90_RR300,0.9,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_007_LB20_S105_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12225,3869,8356,31.648261758691206,-18.012223000331453,0.0,64.53574106184868,35.46425893815132,597,0,0.01,0.0004,0.08,LBF_A_007_LB20_S105_RR180,1.05,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_008_LB20_S105_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12214,3293,8921,26.960864581627643,-19.09917904861308,0.0,66.66883251290747,33.33116748709253,597,0,0.01,0.0004,0.08,LBF_A_008_LB20_S105_RR240,1.05,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_009_LB20_S105_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,12206,3011,9195,24.668195969195477,-18.492684406735094,0.0,67.67106882531326,32.32893117468675,597,0,0.01,0.0004,0.08,LBF_A_009_LB20_S105_RR300,1.05,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,20,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_010_LB40_S75_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11428,3541,7887,30.985299264963253,-19.095762023849574,0.0,53.64019125554036,46.35980874445964,597,0,0.01,0.0004,0.08,LBF_A_010_LB40_S75_RR180,0.75,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
