baseline_reproduction_pass,run_label,fee_tag,round_trip_cost_bps,position_fraction,axis,strategy,side,entry_key,filter_name,description,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,evaluation_status
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_068_RETEST_STOP120_RR500_BODY020_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.20,near raw #1: stop120 rr500 body020 hold17,1.2,5.0,17,31,True,56591,21871,34720,38.64748811648495,446.12552394206125,447.0278919263715,1.4424051244910419,539.1375335808302,539.1375335808302,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_067_RETEST_STOP120_RR500_BODY015_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.15,near raw #1: stop120 rr500 body015 hold17,1.2,5.0,17,31,True,56656,21896,34760,38.64727478113527,445.96565864325424,446.8677624807318,1.4424051244912084,538.9797138505194,538.9797138505194,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_066_RETEST_STOP120_RR505_BODY018_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,near raw #1: stop120 rr505 body018 hold17,1.2,5.05,17,31,True,56626,21882,34744,38.643026171723236,445.75718082982866,446.6589401975897,1.4386166597351147,538.7946136119757,538.7946136119757,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_062_RETEST_STOP120_RR500_BODY018_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,retest raw v22 #1: stop120 rr500 body018 hold17,1.2,5.0,17,31,True,56626,21883,34743,38.64479214495108,445.5108771804351,446.4122295785202,1.4424051244910419,538.5307515782339,538.5307515782339,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_061_RETEST_STOP118_RR500_BODY018_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,retest raw v22 #2: stop118 rr500 body018 hold17,1.18,5.0,17,31,True,56640,21718,34922,38.34392655367231,444.3657892913536,445.24214529347563,1.3830041223579226,537.7014239472342,537.7014239472342,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_060_RETEST_STOP118_RR490_BODY018_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,retest raw v22 #3: stop118 rr490 body018 hold17,1.18,4.9,17,31,True,56640,21722,34918,38.35098870056497,441.84663738988957,442.71893789489457,1.3917822262676016,535.165472178685,535.165472178685,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_019_RETEST_STOP115_RR500_BODY020_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.20,retest raw v22 #4: stop115 rr500 body020 hold17,1.15,5.0,17,31,True,56629,21432,35197,37.8463331508591,440.57246715791985,441.40830336082166,1.3855748221292097,533.9066862245371,533.9066862245371,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_065_RETEST_STOP120_RR490_BODY018_HOLD17,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,near raw #1: stop120 rr490 body018 hold17,1.2,4.9,17,31,True,56627,21885,34742,38.647641584403196,440.70199871972846,441.59540536583313,1.4398014972838546,533.7975066101553,533.7975066101553,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_000_LM21_071_EXACT_REFERENCE,long,child::orig_V09_extreme_vol18::tp03,reference LM21_071: body_atr >= 0.20,"reference check for current long_main rank1 from v21 retest. Entry source remains child::orig_V09_extreme_vol18::tp03 with TP03 source atr_stop 1.10 and rr_target 3.80; final entry adds body_atr >= 0.20; final exit uses atr_stop 1.15, rr_target 4.80, max_hold_bars 17, 2025 data only.",1.15,4.8,17,31,True,56630,21439,35191,37.85802578138796,434.52328389135914,435.34976681291687,1.3901025053261629,527.9078562921927,527.9078562921927,444,597,0,False,VALID
True,LONG_MAIN_V22_RAW_TOP_RETEST_LOW_RESOURCE,fee_008_rt_bps,8.0,0.01,long_main_lm21_rank1_dev,LM22R_069_RETEST_STOP120_RR500_BODY018_HOLD16,long,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.18,near raw #1: stop120 rr500 body018 hold16,1.2,5.0,16,31,True,56657,22156,34501,39.10549446670314,420.27129883778775,421.1737271692775,1.4576966993020912,513.5765949507013,513.5765949507013,444,597,0,False,VALID
