run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_min,range20_max,range60_max,volr_min,volr_max,body_atr_min,body_atr_max,close_pos_min,upper_wick_max,ret3_min,ret5_min,ret10_min,ret20_min,ret60_min,ema20_pos_min,ema50_pos_min,ema_stack_required,compression_lookback,compression_ratio_max,expansion_body_min,expansion_vol_min,rs_rank_min,breadth_rank_min,no_flush_ret5_floor,no_overheat_ret20_max,no_overheat_rsi_max,fail_bars,fail_pnl,trail_r,trail_atr,verdict,note
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_001_S90_RR220_R6040,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,366862,111645,255217,30.432424181299776,-97.2990595681121,0.0,99.9999998539412,1.4605879838924807e-07,597,0,0.01,0.0004,0.08,NLP_RSPR_001_S90_RR220_R6040,0.9,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.04,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_002_S90_RR220_R6070,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,107913,32953,74960,30.53663599380983,-67.22861695596461,0.0,99.96240811787249,0.03759188212751896,597,0,0.01,0.0004,0.08,NLP_RSPR_002_S90_RR220_R6070,0.9,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.07,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_003_S90_RR220_R60100,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,39768,12127,27641,30.494367330516997,-36.6712020982976,0.0,96.97505330950881,3.0249466904911926,597,0,0.01,0.0004,0.08,NLP_RSPR_003_S90_RR220_R60100,0.9,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.1,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_004_S90_RR280_R6040,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,358944,93511,265433,26.051696086297582,-97.12975182522896,0.0,99.99999993069997,6.93000323792603e-08,597,0,0.01,0.0004,0.08,NLP_RSPR_004_S90_RR280_R6040,0.9,2.8,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.04,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_005_S90_RR280_R6070,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,105801,27661,78140,26.14436536516668,-67.34982216374152,0.0,99.97221037894352,0.027789621056484304,597,0,0.01,0.0004,0.08,NLP_RSPR_005_S90_RR280_R6070,0.9,2.8,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.07,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_006_S90_RR280_R60100,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,39112,10146,28966,25.940887707097566,-38.24111436610518,0.0,97.39089263711416,2.609107362885832,597,0,0.01,0.0004,0.08,NLP_RSPR_006_S90_RR280_R60100,0.9,2.8,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.1,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_007_S90_RR340_R6040,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,352444,81919,270525,23.243125148959834,-96.80113049350167,0.0,99.99999995047615,4.952385168621731e-08,597,0,0.01,0.0004,0.08,NLP_RSPR_007_S90_RR340_R6040,0.9,3.4,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.04,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_008_S90_RR340_R6070,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,104060,24344,79716,23.394195656352103,-66.38556428637885,0.0,99.97584653945307,0.024153460546927352,597,0,0.01,0.0004,0.08,NLP_RSPR_008_S90_RR340_R6070,0.9,3.4,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.07,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_009_S90_RR340_R60100,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,38540,8959,29581,23.245978204462894,-36.40523695976019,0.0,97.54499980445395,2.455000195546053,597,0,0.01,0.0004,0.08,NLP_RSPR_009_S90_RR340_R60100,0.9,3.4,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.1,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_010_S105_RR220_R6040,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,356694,109015,247679,30.56261108961743,-97.30860997004106,0.0,99.99999998129279,1.8707213556012903e-08,597,0,0.01,0.0004,0.08,NLP_RSPR_010_S105_RR220_R6040,1.05,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.04,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_011_S105_RR220_R6070,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,105171,32138,73033,30.55785340065227,-67.18769067439958,0.0,99.98305053145246,0.01694946854753354,597,0,0.01,0.0004,0.08,NLP_RSPR_011_S105_RR220_R6070,1.05,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.07,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
LONG_NEW_EDGE_PULLBACK_RECLAIM_V2_1H,NLP_RSPR_012_S105_RR220_R60100,rs_pullback_reclaim,strong_coin_pullback_then_reclaim,long,38920,11887,27033,30.54213771839671,-36.192854605379466,0.0,97.89729216469496,2.10270783530504,597,0,0.01,0.0004,0.08,NLP_RSPR_012_S105_RR220_R60100,1.05,2.2,30,14,0.001,0.07,0.004,0.15,0.26,0.35,3.2,0.03,1.7,0.58,0.68,-0.02,-0.08,-0.12,-0.02,0.1,0.985,0.97,False,60,0.85,0.2,0.9,0.66,0.6,-0.06,0.3,78.0,10,-0.6,999.0,2.2,invalid_no_peak,max_return <= 0
