run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,old_ret_max,reclaim_ret_min,reclaim_gain_min,calm_abs_max,calm_range_max,calm_slope_max,test_break_max,test_recover_min,close_pos_min,atrp_max,volr_max,upper_max,cooldown,stop_atr,rr,hold,fail_bars,fail_pnl,green,verdict,note
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_EXACT_A016,exact_retest,v17_a016_exact_anchor,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_EXACT_A016,-0.15,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_001,old_reclaim_local,old_ret_and_reclaim_grid,long,1630,616,1014,37.79141104294478,1.29174518579096,1.29174518579096,10.778308439540208,90.37420846587328,597,0,0.01,0.0004,0.08,SCR18_A_001,-0.12,0.018,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_002,old_reclaim_local,old_ret_and_reclaim_grid,long,1265,490,775,38.73517786561265,1.2446996007059674,1.2446996007059674,8.522907671508161,92.615707331442,597,0,0.01,0.0004,0.08,SCR18_A_002,-0.12,0.02,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_003,old_reclaim_local,old_ret_and_reclaim_grid,long,938,358,580,38.16631130063966,0.6939415822339035,0.6939415822339035,6.583116803361866,94.06514179396649,597,0,0.01,0.0004,0.08,SCR18_A_003,-0.12,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_004,old_reclaim_local,old_ret_and_reclaim_grid,long,495,189,306,38.18181818181819,0.29663796015508836,0.29663796015508836,3.7498555641864106,96.53565890091431,597,0,0.01,0.0004,0.08,SCR18_A_004,-0.12,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_005,old_reclaim_local,old_ret_and_reclaim_grid,long,259,107,152,41.312741312741316,0.3969008603681434,0.3969008603681434,2.057363653846278,98.33137151247884,597,0,0.01,0.0004,0.08,SCR18_A_005,-0.12,0.03,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_006,old_reclaim_local,old_ret_and_reclaim_grid,long,877,339,538,38.65450399087799,1.0214244364564085,1.0214244364564085,6.250777984776679,94.70679947787458,597,0,0.01,0.0004,0.08,SCR18_A_006,-0.14,0.018,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_007,old_reclaim_local,old_ret_and_reclaim_grid,long,682,267,415,39.14956011730205,0.7837371626837397,0.7837371626837397,5.013772432577868,95.73066993229936,597,0,0.01,0.0004,0.08,SCR18_A_007,-0.14,0.02,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,valid_any_mdd,research only; MDD >= 5
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_008,old_reclaim_local,old_ret_and_reclaim_grid,long,517,193,324,37.33075435203095,0.21792047120929858,0.21792047120929858,4.025720805000166,96.1834267964613,597,0,0.01,0.0004,0.08,SCR18_A_008,-0.14,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_009,old_reclaim_local,old_ret_and_reclaim_grid,long,280,105,175,37.5,0.16441071476627211,0.16441071476627211,2.3056204759271837,97.85499955173482,597,0,0.01,0.0004,0.08,SCR18_A_009,-0.14,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_010,old_reclaim_local,old_ret_and_reclaim_grid,long,156,60,96,38.46153846153847,0.1524208327034593,0.1524208327034593,1.3957115924872365,98.75458188498482,597,0,0.01,0.0004,0.08,SCR18_A_010,-0.14,0.03,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_011,old_reclaim_local,old_ret_and_reclaim_grid,long,658,263,395,39.96960486322189,1.255114682888614,1.255114682888614,4.741006748205345,96.45460286286979,597,0,0.01,0.0004,0.08,SCR18_A_011,-0.15,0.018,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_012,old_reclaim_local,old_ret_and_reclaim_grid,long,524,209,315,39.88549618320611,0.8651510822259567,0.8651510822259567,3.915762336818418,96.91551148517316,597,0,0.01,0.0004,0.08,SCR18_A_012,-0.15,0.02,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_013,old_reclaim_local,old_ret_and_reclaim_grid,long,395,152,243,38.48101265822785,0.42483133119506356,0.42483133119506356,3.092681159371269,97.31901149328482,597,0,0.01,0.0004,0.08,SCR18_A_013,-0.15,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,mdd_under5,official candidate pool
LONG_SCR17_A016_RETEST_REFINE_V18_1H,SCR18_A_014,old_reclaim_local,old_ret_and_reclaim_grid,long,219,85,134,38.81278538812785,0.2687479414491767,0.2687479414491767,1.8224356571622025,98.44141452597411,597,0,0.01,0.0004,0.08,SCR18_A_014,-0.15,0.026,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,0,research_too_few_trades,too few trades
