run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,old_ret_max,old_dd_min,reclaim_ret_min,reclaim_gain_min,calm_abs_max,calm_range_max,calm_slope_max,test_break_max,test_recover_min,close_pos_min,atrp_max,volr_max,upper_max,cooldown,stop_atr,rr,hold,fail_bars,fail_pnl,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,range20_max,range60_max,rsi_min,rsi_max,ema20_min,ema50_min,ema100_min,volr_min,body_atr_max,verdict,note
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_D_056,profit_expand,rr_hold_expand,long,431,147,284,34.106728538283065,0.6803128801889269,0.6803128801889269,3.6135365309295286,97.04219299480916,597,0,0.01,0.0004,0.08,SCR19_D_056,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,3.2,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_E_060,density_control,cooldown_stop_mix,long,432,164,268,37.96296296296296,0.14591047903715904,0.14591047903715904,3.206667800413021,96.93456381427544,597,0,0.01,0.0004,0.08,SCR19_E_060,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,24,0.75,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_E_063,density_control,cooldown_stop_mix,long,431,163,268,37.81902552204176,0.13623446977653053,0.13623446977653053,3.206667800413021,96.92519808248812,597,0,0.01,0.0004,0.08,SCR19_E_063,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,36,0.75,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_E_066,density_control,cooldown_stop_mix,long,431,163,268,37.81902552204176,0.13623446977653053,0.13623446977653053,3.206667800413021,96.92519808248812,597,0,0.01,0.0004,0.08,SCR19_E_066,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.75,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_C_035,test_expand,failuretest_relax,long,433,165,268,38.106235565819865,0.3261194847161697,0.3261194847161697,3.4248179717707328,96.89013251422342,597,0,0.01,0.0004,0.08,SCR19_C_035,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.01,0.004,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_C_036,test_expand,failuretest_relax,long,433,165,268,38.106235565819865,0.3261194847161697,0.3261194847161697,3.4248179717707328,96.89013251422342,597,0,0.01,0.0004,0.08,SCR19_C_036,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.01,0.006,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_C_037,test_expand,failuretest_relax,long,433,165,268,38.106235565819865,0.3261194847161697,0.3261194847161697,3.4248179717707328,96.89013251422342,597,0,0.01,0.0004,0.08,SCR19_C_037,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.01,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_E_061,density_control,cooldown_stop_mix,long,432,165,267,38.19444444444444,0.3141961149191408,0.3141961149191408,3.4139471116967246,96.88952251403207,597,0,0.01,0.0004,0.08,SCR19_E_061,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,24,0.85,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_D_052,profit_expand,rr_hold_expand,long,431,148,283,34.33874709976798,0.49958363276376705,0.49958363276376705,3.5923186232928117,96.88931837359226,597,0,0.01,0.0004,0.08,SCR19_D_052,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.8,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
LONG_SCR18_TRADECOUNT_EXPAND_V19_1H,SCR19_EXACT_A016,anchor,v18_exact_a016,long,431,164,267,38.05104408352668,0.3045038460493421,0.3045038460493421,3.4139471116967246,96.8801611340954,597,0,0.01,0.0004,0.08,SCR19_EXACT_A016,-0.15,-0.18,0.022,0.015,0.006,0.12,0.003,-0.008,0.008,0.6,0.075,3.0,0.6,48,0.85,2.0,12,5,-0.42,-0.18,-0.35,0.16,0.35,0.001,0.24,0.44,26.0,70.0,0.86,0.78,0.68,0.25,2.0,mdd_under5,official candidate pool
