symbol,trades,wins,losses,win_rate_pct,sum_trade_return_pct,avg_trade_return_pct,gross_profit_return_pct,gross_loss_abs_return_pct,profit_factor,asset_pnl,rank,positive_pool_share_pct,negative_pool_share_pct,net_contribution_pct,cumulative_positive_pool_share_pct,section
JELLYJELLY,36,3,33,8.333333333333332,1117.3210850954056,31.03669680820571,1226.4462051391602,109.12512004375458,11.238899023867345,56.042943089073205,1,6.10115534997989,0.0,7.0779109817884125,6.10115534997989,TOP30
BAS,9,1,8,11.11111111111111,971.1645132899284,107.90716814332538,1025.5440673828125,54.379554092884064,18.859001043500868,42.827766436892155,2,4.662475628891082,0.0,5.408907913835992,10.763630978870971,TOP30
BANANAS31,32,2,30,6.25,639.4314519166946,19.982232872396708,682.3260250091553,42.89457309246063,15.907047810882267,19.305996309510356,3,2.1017611884381324,0.0,2.438239602732285,12.865392167309103,TOP30
BDXN,8,2,6,25.0,301.5909277051687,37.69886596314609,307.18650817871094,5.595580473542213,54.89805921498083,19.295965961528406,4,2.100669227383286,0.0,2.4369728257534287,14.966061394692389,TOP30
BROCCOLI714,19,2,17,10.526315789473683,547.1386299729347,28.796769998575513,581.0656890869141,33.92705911397934,17.12691003174782,18.400208005243996,5,2.0031518925319474,0.0,2.323843594375751,16.969213287224335,TOP30
BLESS,5,1,4,20.0,374.5648152977228,74.91296305954457,392.6910705566406,18.12625525891781,21.664213868081955,16.7665950932488,6,1.8253074466759445,0.0,2.1175273994638437,18.794520733900278,TOP30
TRUST,2,2,0,100.0,239.59381484985352,119.79690742492676,239.59381484985352,0.0,inf,14.34974526939713,7,1.5621953504847377,0.0,1.8122927531965185,20.356716084385017,TOP30
COAI,9,1,8,11.11111111111111,239.6329950094223,26.625888334380257,240.2729949951172,0.6399999856948853,375.4265630713082,12.69984700804062,8,1.38257798834516,0.0,1.6039198095356473,21.73929407273018,TOP30
SLERF,11,1,10,9.090909090909092,279.96644499897957,25.451494999907233,322.2602844238281,42.29383942484856,7.619556153005422,12.665081021796272,9,1.3787931642213644,0.0,1.5995290594738514,23.118087236951542,TOP30
BAKE,54,5,49,9.25925925925926,492.5212768316269,9.120764385770869,559.7359313964844,67.21465456485748,8.32758771164074,12.35946407541214,10,1.34552195531086,0.0,1.5609313445466593,24.463609192262403,TOP30
COMMON,3,2,1,66.66666666666666,174.88040344417095,58.29346781472365,174.9604034423828,0.07999999821186066,2187.005091913158,12.322381165395681,11,1.341484897612442,0.0,1.5562479799413245,25.805094089874846,TOP30
BROCCOLIF3B,22,4,18,18.181818181818183,359.45679995417595,16.338945452462543,449.4095973968506,89.95279744267464,4.996060269090036,11.468093886788854,12,1.2484822979451162,0.0,1.4483562637399976,27.053576387819962,TOP30
AT,4,1,3,25.0,159.25363247096539,39.813408117741346,175.46438598632812,16.21075351536274,10.823950029222429,10.72381286360335,13,1.1674556084780865,0.0,1.354357723742399,28.22103199629805,TOP30
NAORIS,9,1,8,11.11111111111111,175.3389097303152,19.482101081146133,204.87359619140625,29.53468646109104,6.9367113973363645,9.51440321909549,14,1.0357923567609393,0.0,1.2016160343786229,29.256824353058988,TOP30
PTB,7,1,6,14.285714285714285,104.85299256443977,14.97899893777711,105.33299255371094,0.47999998927116394,219.4437393918476,8.751028479101445,15,0.9526870160661847,0.0,1.105206064494704,30.209511369125174,TOP30
COTI,66,5,61,7.575757575757576,219.59777867794037,3.3272390708778845,245.94435119628906,26.346572518348694,9.334965716128906,7.866919827679046,16,0.8564378911760793,0.0,0.9935480753157453,31.065949260301252,TOP30
GPS,9,2,7,22.22222222222222,183.85854096710682,20.42872677412298,184.41854095458984,0.5599999874830246,329.31883049404564,6.9800499201294635,17,0.7598881601495999,0.0,0.8815413548962614,31.825837420450853,TOP30
TRB,107,8,99,7.476635514018691,364.9600819051266,3.4108418869637998,478.40599250793457,113.445910602808,4.217040437736969,6.968155493644561,18,0.7585932648464043,0.0,0.8800391552043972,32.58443068529726,TOP30
XPIN,3,1,2,33.33333333333333,155.99516662955284,51.998388876517616,156.15516662597656,0.1599999964237213,975.9698132269788,6.91291149148504,19,0.7525790867759529,0.0,0.8730621460037677,33.33700977207321,TOP30
MYRO,22,2,20,9.090909090909092,119.36755801737309,5.425798091698777,132.42260360717773,13.05504558980465,10.143404149472545,6.387610739799578,20,0.6953918422302772,0.0,0.8067195923447478,34.03240161430349,TOP30
TST,19,4,15,21.052631578947366,168.652670443058,8.876456339108316,187.77038383483887,19.117713391780853,9.82180138319082,6.112294175938633,21,0.6654193062792559,0.0,0.7719486466482937,34.69782092058274,TOP30
SAPIEN,14,1,13,7.142857142857142,106.82152952253819,7.630109251609871,144.2059326171875,37.384403094649315,3.8573822417891472,5.873461646987483,22,0.639418631056979,0.0,0.7417854309730407,35.33723955163972,TOP30
