month,trades,avg_pnl_pct,sum_pnl_pct,wins,losses,win_rate_pct,max_trade_pct,min_trade_pct
2019-09,1,-0.7697971429024707,-0.7697971429024707,0,1,0.0,-0.7697971429024707,-0.7697971429024707
2019-10,1,0.0966533780141577,0.0966533780141577,1,0,100.0,0.0966533780141577,0.0966533780141577
2019-11,1,1.360213732357276,1.360213732357276,1,0,100.0,1.360213732357276,1.360213732357276
2019-12,2,-0.25696499887823177,-0.5139299977564635,1,1,50.0,0.0886468828851373,-0.6025768806416009
2020-01,20,-0.43490040145459935,-8.698008029091987,7,13,35.0,2.5455707762557145,-2.573088782081887
2020-02,111,0.8021530643507476,89.03899014293299,83,28,74.77477477477478,7.305819811291205,-2.3942153801859245
2020-03,280,-0.10414024433863218,-29.159268414817014,135,145,48.214285714285715,13.362224919986767,-5.7317222589132495
2020-04,13,0.30951786057815384,4.023732187516,7,6,53.84615384615385,4.870495049504955,-1.5760912021901419
2020-05,60,-0.4786854329824527,-28.72112597894716,26,34,43.333333333333336,5.571913875598091,-3.1305336885480073
2020-06,75,0.1727746759823767,12.958100698678253,27,48,36.0,6.001548030407746,-3.2916698755172424
2020-07,68,0.7639862476713224,51.951064841649924,45,23,66.17647058823529,5.460166204986141,-2.912511756385514
2020-08,237,0.01040163797453143,2.465188199963949,134,103,56.540084388185655,14.968479109768609,-4.3290701605424236
2020-09,451,0.08045901286568653,36.28701480242463,218,233,48.33702882483371,13.88484375,-3.6348469495378377
2020-10,210,0.013177493033380202,2.7672735370098422,100,110,47.61904761904761,11.83135734072024,-2.5967615109174313
2020-11,554,0.6416027610523465,355.44792962299994,329,225,59.38628158844765,15.249313543599277,-4.258246251175843
2020-12,455,-0.0299963402915689,-13.64833483266385,236,219,51.868131868131876,13.144622171537659,-3.0782233424397987
2021-01,1043,0.5390786494007284,562.2590313249597,538,505,51.58197507190796,23.17377709656231,-4.104052291391422
2021-02,1303,0.31084202635660363,405.0271603426545,738,565,56.63852647735994,20.32599372279033,-5.741535099534632
2021-03,624,0.21736596271587358,135.6363607347051,334,290,53.52564102564102,16.619845166998452,-6.915659614309364
2021-04,1078,0.4025677163542816,433.96799822991557,584,494,54.17439703153989,17.339797327452672,-4.2213787403239085
