strategy,trades,chron_final_return_pct,chron_mdd_pct,chron_cd_value,chron_exposure_pct,open_equity_proxy_mdd_pct,realized_mdd_recalc_pct,final_equity_recalc,max_open_positions_recalc,worst_mae_pct,avg_mae_pct,max_mfe_pct,avg_mfe_pct,same_bar_collision_count
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,55923,446.2622194089647,23.1470859203073,435.56208612377895,738.0,32.41785987053395,23.2138969144332,5.398792447440862,450,-93.35195530726256,-2.3937204853572442,133.21541612362688,2.8881753690971683,8
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_LONG_MAX2_V6,55570,7585.487629767029,6.414126919816894,7201.055120019657,738.0,32.193280320898346,6.570555269193683,76.23989017721746,452,-93.35195530726256,-1.9045592024782523,87.74250440917109,2.1360454890612828,6
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP165_FR100,51566,63547.25887822252,6.928995949328538,59300.50810872202,737.0,32.201076864503065,7.164243608594183,630.8124998384945,436,-93.35195530726256,-1.924515178638753,217.4450549450549,2.049853898562009,5
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP175_FR100,51563,117080.67847804312,7.321939589142183,108723.67874148749,737.0,32.1230944240831,7.585348198618067,1161.7163995728229,436,-93.35195530726256,-1.9407635427895984,217.4450549450549,2.0436954400655787,4
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP185_FR100,51566,213357.328350874,7.713231007959111,197228.00826108715,737.0,32.125449954794846,8.006347294154642,2115.992705549467,436,-93.35195530726256,-1.9524460689487486,217.4450549450549,2.037656453059546,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C90,50431,167621.05995530495,7.71323100795889,154969.10250862245,734.0,32.12544995479487,8.00634729415484,1663.2697890493657,434,-93.35195530726256,-1.9454516387275766,87.74250440917109,2.0289801602557,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C105,49349,136445.2951010446,7.60229104698477,126268.58982693836,734.0,32.125449954794874,7.886527474609135,1354.7628201701305,434,-93.35195530726256,-1.9291755315777557,87.74250440917109,2.0197888554211647,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD14,51568,208362.215084753,7.71323100795904,192612.67718706495,737.0,32.1254499547949,8.006347294154585,2066.6808599623528,436,-93.35195530726256,-1.9524552684442373,217.4450549450549,2.0284574149846644,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD20,51563,210309.49988916065,7.713231007958954,194411.9084735127,737.0,32.125449954795,8.006347294154732,2085.8200670743618,436,-93.35195530726256,-1.9527234125794908,220.1923076923077,2.045944785360886,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK_M030,51565,253643.64289914555,7.713231007958937,234451.32422742716,737.0,32.214283924662055,8.00634729415457,2515.4025641426306,436,-93.35195530726256,-1.9575582104884146,217.4450549450549,2.042532147208708,3
