strategy,trades,wins,losses,win_rate_pct,sum_trade_pnl_pct,trade_row_realized_mdd_proxy_pct,worst_trade_pnl_pct,best_trade_pnl_pct,mae_field,mae_min,mae_avg,mfe_field,mfe_max,mfe_avg,chron_final_return_pct,chron_max_drawdown_pct,chron_cd_value,chron_max_gross_exposure_pct,exit_reason_counts_json
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,55923,22630,33293,40.466355524560555,18340.494791193465,137.016328381246,-28.569742712887134,126.63290262520944,mae_pct,-93.35195530726257,-2.3937204853572385,mfe_pct,133.21541612362688,2.8881753690971728,446.2622194089647,23.1470859203073,435.56208612377895,738.0,"{""stop"": 31382, ""stop_first_same_bar"": 8, ""target"": 499, ""time"": 24034}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_LONG_MAX2_V6,55570,34950,20620,62.893647651610586,44329.73935054876,27.562451503563352,-20.64974265975183,74.12907803415953,mae_pct,-93.35195530726257,-1.9045592024782512,mfe_pct,87.74250440917109,2.136045489061312,7585.487629767029,6.414126919816894,7201.055120019657,738.0,"{""stop"": 15595, ""stop_dynamic"": 34815, ""stop_first_same_bar"": 7, ""target"": 92, ""time"": 5061}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP165_FR100,51566,35187,16379,68.2368227126401,65511.982094601575,28.68120012804866,-22.32867303232828,203.90351648351646,mae_pct,-93.35195530726257,-1.9245151786387518,mfe_pct,217.44505494505492,2.049853898562025,63547.25887822252,6.928995949328538,59300.50810872202,737.0,"{""stop"": 11064, ""stop_dynamic"": 37773, ""stop_first_same_bar"": 5, ""target"": 38, ""time"": 2686}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP175_FR100,51563,35885,15678,69.59447665962027,71652.13284852865,26.00769825345924,-23.67707745852999,203.90351648351646,mae_pct,-93.35195530726257,-1.9407635427895975,mfe_pct,217.44505494505492,2.0436954400655947,117080.67847804312,7.3219395891421835,108723.67874148747,737.0,"{""stop"": 10249, ""stop_dynamic"": 38875, ""stop_first_same_bar"": 4, ""target"": 30, ""time"": 2405}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP185_FR100,51566,36516,15050,70.81410231547919,77690.1270366303,27.475566725086537,-25.02548188473171,203.90351648351646,mae_pct,-93.35195530726257,-1.9524460689487473,mfe_pct,217.44505494505492,2.0376564530595656,213357.32835087396,7.713231007959111,197228.00826108715,737.0,"{""stop"": 9552, ""stop_dynamic"": 39862, ""stop_first_same_bar"": 3, ""target"": 22, ""time"": 2127}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C90,50431,35795,14636,70.97816819020048,75251.50084826475,27.475566725086537,-25.02548188473171,52.05247557779366,mae_pct,-93.35195530726257,-1.9454516387275662,mfe_pct,87.74250440917109,2.0289801602557227,167621.05995530495,7.71323100795889,154969.10250862243,734.0,"{""stop"": 9352, ""stop_dynamic"": 38958, ""stop_first_same_bar"": 3, ""target"": 21, ""time"": 2097}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C105,49349,35058,14291,71.04095321080467,73181.15288641972,25.025481884731562,-25.02548188473171,52.05247557779366,mae_pct,-93.35195530726257,-1.9291755315777417,mfe_pct,87.74250440917109,2.019788855421184,136445.2951010446,7.60229104698477,126268.58982693836,734.0,"{""stop"": 9175, ""stop_dynamic"": 38061, ""stop_first_same_bar"": 3, ""target"": 20, ""time"": 2090}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD14,51568,36517,15051,70.81329506670804,77412.23499209645,27.475566725086537,-25.02548188473171,188.51890109890107,mae_pct,-93.35195530726257,-1.9524552684442356,mfe_pct,217.44505494505492,2.0284574149846852,208362.215084753,7.71323100795904,192612.67718706498,737.0,"{""stop"": 9553, ""stop_dynamic"": 39769, ""stop_first_same_bar"": 3, ""target"": 20, ""time"": 2223}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD20,51563,36515,15048,70.81628299361945,77510.31626699159,27.475566725086537,-25.02548188473171,218.18923076923073,mae_pct,-93.35195530726257,-1.9527234125794897,mfe_pct,220.1923076923077,2.0459447853609074,210309.49988916062,7.713231007958954,194411.9084735127,737.0,"{""stop"": 9550, ""stop_dynamic"": 39957, ""stop_first_same_bar"": 3, ""target"": 24, ""time"": 2029}"
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK_M030,51565,37289,14276,72.31455444584505,79427.47518866662,32.080133476891206,-25.02548188473171,203.90351648351646,mae_pct,-93.35195530726257,-1.9575582104884115,mfe_pct,217.44505494505492,2.0425321472087288,253643.64289914555,7.713231007958937,234451.32422742713,737.0,"{""stop"": 9722, ""stop_dynamic"": 39689, ""stop_first_same_bar"": 3, ""target"": 22, ""time"": 2129}"
