rank_by_cd,strategy,description,entry_key,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,is_baseline,is_v27_winner,delta_cd_vs_baseline_expected
1,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr515_hold17_cool29,sensitivity around V28 top1: stop 1.12 / rr 5.15 / hold 17 / cooldown 29,child::orig_V09_extreme_vol18::tp03,1.12,5.15,17,29,True,56973,21225,35748,37.254488968458745,427.1577315711784,427.93926907835413,1.2703839110099757,521.232413544079,521.232413544079,444,597,0,False,False,False,21.57260743505742
2,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr515_hold17_cool27,sensitivity around V28 top1: stop 1.12 / rr 5.15 / hold 17 / cooldown 27,child::orig_V09_extreme_vol18::tp03,1.12,5.15,17,27,True,57207,21298,35909,37.229709650916845,425.011810820338,425.7901668934691,1.1906522037976375,519.5298346840008,519.5298346840008,444,597,0,False,False,False,19.870028574979187
3,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr509_hold17_cool29,sensitivity around V28 top1: stop 1.12 / rr 5.10 / hold 17 / cooldown 29,child::orig_V09_extreme_vol18::tp03,1.12,5.1,17,29,True,56975,21225,35750,37.25318121983326,423.8639858850438,424.6406402507259,1.2745547156095993,517.9538082304059,517.9538082304059,444,597,0,False,False,False,18.294002121384324
4,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_RETEST_FROM_V28_TOP1_stop112_rr510_hold17_cool27,single retest from V28 top1: stop 1.12 / rr 5.10 / hold 17 / cooldown 27,child::orig_V09_extreme_vol18::tp03,1.12,5.1,17,27,True,57208,21299,35909,37.23080688015662,422.44717286413464,423.2217267341773,1.0366413563474675,517.7977939294555,517.7977939294555,444,597,0,False,False,False,18.137987820433864
5,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr505_hold17_cool29,sensitivity around V28 top1: stop 1.12 / rr 5.05 / hold 17 / cooldown 29,child::orig_V09_extreme_vol18::tp03,1.12,5.05,17,29,True,56975,21226,35749,37.254936375603336,422.7693178322216,423.5443492981717,1.2787253827304168,516.8496548138452,516.8496548138452,444,597,0,False,False,False,17.18984870482359
6,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr505_hold17_cool27,sensitivity around V28 top1: stop 1.12 / rr 5.05 / hold 17 / cooldown 27,child::orig_V09_extreme_vol18::tp03,1.12,5.05,17,27,True,57208,21300,35908,37.23255488742833,421.30997288588867,422.0828408005084,1.0373469747019137,516.6670302460265,516.6670302460265,444,597,0,False,False,False,17.00722413700487
7,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr515_hold17_cool25,sensitivity around V28 top1: stop 1.12 / rr 5.15 / hold 17 / cooldown 25,child::orig_V09_extreme_vol18::tp03,1.12,5.15,17,25,True,57482,21371,36111,37.178595038446815,407.0944105549436,407.8462031926929,1.2750761886176298,501.37077718098413,501.37077718098413,445,597,0,False,False,False,1.7109710719625468
8,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18,official long_main v13 / long_max v9 frozen baseline: stop 1.12 rr 4.70 hold 18 cooldown 31,child::orig_V09_extreme_vol18::tp03,1.12,4.7,18,31,True,56697,20962,35735,36.97197382577562,405.1480528315248,405.8734002703171,1.228290350505734,499.6598061090216,499.6598061090216,444,597,0,False,True,False,0.0
9,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr509_hold17_cool25,sensitivity around V28 top1: stop 1.12 / rr 5.10 / hold 17 / cooldown 25,child::orig_V09_extreme_vol18::tp03,1.12,5.1,17,25,True,57482,21372,36110,37.180334713475524,404.2900553432811,405.0376903852106,1.0990162039641094,499.487244331751,499.487244331751,445,597,0,False,False,False,-0.1725617772705732
10,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350__DEV19_risk_rr_380__LM15_rr420__DEV24_near_stop112_rr470_hold18__V29_SENS_stop112_rr505_hold17_cool25,sensitivity around V28 top1: stop 1.12 / rr 5.05 / hold 17 / cooldown 25,child::orig_V09_extreme_vol18::tp03,1.12,5.05,17,25,True,57483,21374,36109,37.18316719725832,403.71116035725123,404.4579371586252,1.1051196851771583,498.88307319164664,498.88307319164664,445,597,0,False,False,False,-0.7767329173749431
