strategy,axis,family,description,audit_mode,slippage_per_side,slippage_per_side_pct,round_trip_slippage,round_trip_slippage_pct,total_round_trip_cost,total_round_trip_cost_pct,entry_mode,precompute_signals,initial_asset,position_fraction,leverage,fee_per_side,round_trip_fee,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_close_min_equity,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,mtm_worstbar_min_equity,generated_signals,executed_entries,blocked_entries,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,short_dev,short_wick_mult,score_min_short,score_dev_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,dd_brake_trigger_pct,dd_brake_freeze_steps,ret12_min,ret3_min,volume_spike_min,upper_range_ratio_min,close_position_max,green_streak_min,ema20_slope12_min,ema20_slope12_max,range_spike_min,dist_roll_high20_min,climax_score_min,period_label,period_start,period_end,period_days,period_loaded_symbols,period_timeline_count,load_errors,candidate_key,strategy_elapsed_seconds,strategy_elapsed_minutes,strategy_started_at,strategy_finished_at,parent_reference_source,parent_strategy,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_profit_factor,source_retest_strategy,source_trades,source_max_return_pct,source_max_drawdown_pct,source_official_cd_value,source_profit_factor,delta_vs_source_trades,delta_vs_source_max_return_pct,delta_vs_source_max_drawdown_pct,delta_vs_source_official_cd_value,delta_vs_source_profit_factor,gate_mdd_under_10,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_active_leftover_zero,gate_pending_leftover_zero,gate_environment_lock_pass,gate_realized_mdd10_pass,gate_mtm_audit_pass,total_elapsed_seconds,total_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,run_started_at,run_finished_at,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_return_pct,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_close_cd_value,delta_vs_same_period_baseline_mtm_close_max_drawdown_pct,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag
SMAUD_C03_stop240_score270_timeout315_slip000000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,23527,1911,21616,8.122582564712882,311.4467680751428,311.4467680751428,4.995144920443351,390.894405739309,1.8777264082396752,312.05578465201177,6.103444293020754,386.90618937960664,99.95985069982534,311.5217223567629,6.1994316201185224,386.0097145773214,99.74051222010038,43579,23527,0,200,200,1475,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,C03_stop240_score270_timeout315,10.423165999993216,0.17371943333322026,2026-05-30T16:26:00,2026-05-30T16:26:11,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-130488,-53365.01587410983,-0.9280045441071305,-50200.307977400895,0.11289132873115992,True,True,True,True,True,True,True,True,True,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,13.77244793392316,13.231425766604275,-0.3018344427499047,0.05892197773129659,11.699440827278522,0.17774690088172562,11.17683185665112,0.2797481653209033,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED
SMAUD_C00_short_main2_v1_same_slip000000,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,23931,1993,21938,8.32810998286741,298.21534230853854,298.21534230853854,5.296979363193255,377.1219578053858,1.8188044305083786,298.84085042473157,5.925697392139028,375.2067485523281,99.95985069982534,298.4179650804809,5.919683454797619,374.8328827206703,99.69988289320631,43579,23931,0,197,197,1681,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,C00_short_main2_v1_same,20.635991799994372,0.34393319666657285,2026-05-30T16:25:28,2026-05-30T16:25:49,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-130084,-53378.24729987643,-0.6261701013572258,-50214.08042533482,0.05396935099986333,True,True,True,True,True,True,True,True,True,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED
SMAUD_C03_stop240_score270_timeout315_slip000000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,128404,9455,118949,7.36347777327809,17942.066439621896,17942.066439621896,5.888592725709996,16979.64262769056,1.7110313125769783,17974.183321308832,15.017466599306728,15359.89887793381,99.67203709955612,17944.94786543573,14.23277215250176,15476.651550710532,99.66705702675407,223592,128404,0,364,364,7403,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,,2025-09-30 23:59:59,,552,637597,0,C03_stop240_score270_timeout315,324.7792520999792,5.412987534999654,2026-05-30T16:13:08,2026-05-30T16:18:32,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-25611,-35734.396202563075,-0.034556738840485046,-33611.55975544965,-0.05380376693153699,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,4242.910044346994,4503.419566505989,-0.034556738840485046,0.06881512470225082,3846.4639648393186,-0.05276375130741684,3871.8597918441446,-0.05118940121623439,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED
SMAUD_C00_short_main2_v1_same_slip000000,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,129976,9832,120144,7.564473441250692,13438.646873115908,13438.646873115908,5.923149464550481,12736.732583343564,1.6422161878747275,13456.4183920729,15.070230350614144,11513.434913094492,99.66778008460307,13438.646873115908,14.283961553717994,11604.791758866388,99.66102827648606,223592,129976,0,364,364,8310,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,,2025-09-30 23:59:59,,552,637597,0,C00_short_main2_v1_same,219.3230084000097,3.655383473333495,2026-05-30T16:05:00,2026-05-30T16:08:39,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-24039,-40237.81576906906,0.0,-37854.46979979664,-0.12261889163378781,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED
SMAUD_C03_stop240_score270_timeout315_slip000000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,152030,11364,140666,7.4748404920081555,73746.55353592646,73746.55353592646,5.888592725709996,69498.03075622236,1.8286053579584032,73855.85996080964,15.017466599306728,62849.56339296499,99.67203709955612,73760.00634635029,14.23277215250176,63347.67993125091,99.66705702675407,267412,152030,0,364,364,8883,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TRAIN_TO_2025_END,,2025-12-31 23:59:59,,597,664093,0,C03_stop240_score270_timeout315,218.78935189999174,3.6464891983331955,2026-05-30T15:54:39,2026-05-30T15:58:18,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-1985,20070.090893741493,-0.034556738840485046,18906.828373082157,0.06377027844988792,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,18906.828373082157,20070.090893741493,-0.034556738840485046,0.06377027844988792,17105.59659288192,-0.05276375130741684,17229.172123845856,-0.05118940121623439,True,True,69498.03075622236,16979.64262769056,390.894405739309,0.24431832733865372,0.005624539306882607,63347.67993125091,15476.651550710532,386.0097145773214,0.24431283935744477,0.006093509896435744,GENERAL_EDGE_CONFIRMED
SMAUD_C00_short_main2_v1_same_slip000000,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,154015,11824,142191,7.6771743012044285,53676.46264218497,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,53760.933555957025,15.070230350614144,45743.96680008307,99.66778008460307,53703.825565629,14.283961553717994,46118.507807405054,99.66102827648606,267412,154015,0,364,364,9995,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TRAIN_TO_2025_END,,2025-12-31 23:59:59,,597,664093,0,C00_short_main2_v1_same,311.7089582000044,5.195149303333407,2026-05-30T15:44:29,2026-05-30T15:49:41,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,0,0.0,0.0,0.0,0.0,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,50591.202383140204,12736.732583343564,377.1219578053858,0.25175785479232154,0.007454299167458882,46118.507807405054,11604.791758866388,374.8328827206703,0.25162981871245743,0.008127602139384158,GENERAL_EDGE_CONFIRMED
SMAUD_C03_stop240_score270_timeout315_slip000500,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0005",realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,23621,1884,21737,7.9759536006096265,230.8265147975443,230.8265147975443,6.193990116539694,310.33515316809167,1.6679386092500081,231.3504049546243,6.857241805453118,308.62890646353765,99.95688992951067,230.9211440000837,6.793656379410717,308.43949858990305,99.6270627862785,43579,23621,0,199,199,1550,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,C03_stop240_score270_timeout315,10.564187299984042,0.17606978833306736,2026-05-30T16:26:11,2026-05-30T16:26:22,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-130394,-53445.63612738742,0.2708406519892126,-50280.867229972115,-0.09689647025850712,True,True,True,True,True,True,True,True,True,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,8.569448322048572,9.56979690349931,0.12687557469520616,0.045518562962830744,8.347248040336638,0.15287502840064526,8.694701723584615,0.040295016026903774,True,True,15177.194065003236,4617.4606705665265,310.33515316809167,0.30423678123836007,0.02044746557492381,14001.429941017343,4259.174009564572,308.43949858990305,0.30419564483819433,0.022029142729652645,GENERAL_EDGE_CONFIRMED
SMAUD_C00_short_main2_v1_same_slip000500,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0005,realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,24040,1964,22076,8.169717138103161,221.25671789404498,221.25671789404498,6.067114541844488,301.7657048460431,1.6224200462871774,221.8603572855562,6.704366777052472,300.281658423201,99.92633531052697,221.45372878740358,6.753361363383814,299.74479686631844,99.56532766026237,43579,24040,0,197,197,1738,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,C00_short_main2_v1_same,10.90433170000324,0.18173886166672068,2026-05-30T16:25:49,2026-05-30T16:26:00,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-129975,-53455.20592429092,0.14396507729400643,-50289.43667829416,-0.14241503322133786,True,True,True,True,True,True,True,True,True,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,11318.27777107708,3536.8975679257005,301.7657048460431,0.312494324619241,0.026661804114507623,10424.98281599844,3255.7513725839094,299.74479686631844,0.3123028047190209,0.02875254589449515,GENERAL_EDGE_CONFIRMED
SMAUD_C03_stop240_score270_timeout315_slip000500,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0005",realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,128946,9215,119731,7.146402369984335,4850.772368223334,4850.772368223334,6.732519147844018,4617.4606705665265,1.4972702548374446,4859.596506026834,14.738616500820601,4228.620597015441,99.54052401193026,4851.518886684493,13.982474730769145,4259.174009564572,99.53555543209043,223592,128946,0,364,364,7821,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,,2025-09-30 23:59:59,,552,637597,0,C03_stop240_score270_timeout315,276.2101237999741,4.603502063332901,2026-05-30T16:19:34,2026-05-30T16:24:10,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-25069,-48825.690273961634,0.8093696832935366,-45973.741712573676,-0.2675648246710707,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,1080.563102640826,1161.5678882330503,0.07394705449450534,0.05475287270962914,997.2841852974034,-0.07904935209840325,1003.4226369806624,-0.09576016585331004,True,True,15177.194065003236,4617.4606705665265,310.33515316809167,0.30423678123836007,0.02044746557492381,14001.429941017343,4259.174009564572,308.43949858990305,0.30419564483819433,0.022029142729652645,GENERAL_EDGE_CONFIRMED
SMAUD_C00_short_main2_v1_same_slip000500,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0005,realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,130591,9590,121001,7.343538222388986,3689.2044799902833,3689.2044799902833,6.6585720933495125,3536.8975679257005,1.4425173821278154,3693.434922948478,14.817665852919005,3231.336411718037,99.57176046850437,3689.2044799902833,14.078234896622455,3255.7513725839094,99.56552021158146,223592,130591,0,364,364,8775,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,,2025-09-30 23:59:59,,552,637597,0,C00_short_main2_v1_same,183.1092409999983,3.051820683333305,2026-05-30T16:09:19,2026-05-30T16:12:22,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-23424,-49987.25816219469,0.7354226287990313,-47054.304815214506,-0.3223176973806998,True,False,False,True,True,True,True,True,False,3099.726656099985,51.66211093499975,505.5410499999998,8.425684166666663,2026-05-30T15:34:42,2026-05-30T16:26:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,11318.27777107708,3536.8975679257005,301.7657048460431,0.312494324619241,0.026661804114507623,10424.98281599844,3255.7513725839094,299.74479686631844,0.3123028047190209,0.02875254589449515,GENERAL_EDGE_CONFIRMED
