strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,short_dev,ret12_min,ret3_min,volume_spike_min,upper_range_ratio_min,close_position_max,ema20_slope12_max,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,source_official_cd_value,delta_vs_source_official_cd_value,delta_vs_same_slip_baseline_official_cd_value,delta_vs_same_slip_baseline_max_drawdown_pct,delta_vs_same_slip_baseline_profit_factor,delta_vs_same_slip_baseline_mtm_close_cd_value,delta_vs_same_slip_baseline_mtm_close_max_drawdown_pct,delta_vs_same_slip_baseline_mtm_worstbar_cd_value,delta_vs_same_slip_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_slip_baseline,gate_mtm_close_improve_vs_same_slip_baseline,gate_mtm_worstbar_improve_vs_same_slip_baseline,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
SMAUD_C01_score265_stop235_timeout300_slip000000,C01_score265_stop235_timeout300,realism_audit_no_position_limit,0.0,0.0,0.08,True,160477,12038,148439,7.501386491522149,75972.49313878706,6.264955432449848,71306.58534728858,1.7878471525000421,76139.39254894173,15.354985574586754,64532.84482089916,76041.80681325341,14.513309270475784,65091.11090631774,281978,160477,0,9754,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.65,2.35,6.2,300,0.08,50591.202383140204,20715.382964148375,20715.382964148375,0.3418059678993668,0.023012072991526855,18788.87802081609,0.2847552239726099,18972.60309891269,0.22934771675778975,True,False,False,True,False,True,True,True,436.40198610001244,7.273366435000208,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C03_stop240_score270_timeout315_slip000000,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0,0.0,0.08,True,152030,11364,140666,7.4748404920081555,73746.55353592646,5.888592725709996,69498.03075622236,1.8286053579584032,73855.85996080964,15.017466599306728,62849.56339296499,73760.00634635029,14.23277215250176,63347.67993125091,267412,152030,0,8883,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.4,6.2,315,0.08,50591.202383140204,18906.828373082157,18906.828373082157,-0.034556738840485046,0.06377027844988792,17105.59659288192,-0.05276375130741684,17229.172123845856,-0.05118940121623439,True,False,False,True,False,True,True,True,441.0713645000069,7.351189408333449,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C00_short_main2_v1_same_slip000000,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0,0.0,0.08,True,154015,11824,142191,7.6771743012044285,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,53760.933555957025,15.070230350614144,45743.96680008307,53703.825565629,14.283961553717994,46118.507807405054,267412,154015,0,9995,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.3,6.2,285,0.075,50591.202383140204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,485.5168521000014,8.091947535000024,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C01_score265_stop235_timeout300_slip000200,C01_score265_stop235_timeout300,realism_audit_no_position_limit,0.0002,0.02,0.12000000000000001,True,160777,11975,148802,7.448204656138627,43789.83199002306,6.435445984834976,41065.325559470315,1.7014692478648643,43887.76473854629,15.243537223803848,37282.473446706725,43831.46415935662,14.41574424042792,37598.416645068515,281978,160777,0,9973,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.65,2.35,6.2,300,0.08,50591.202383140204,-9525.876823669889,11530.487039235551,0.22593044529830664,0.019092246789081058,10450.486110709113,0.3137075905741735,10553.770273946582,0.251136748004388,True,False,False,True,False,True,True,True,519.1181726000214,8.651969543333689,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C03_stop240_score270_timeout315_slip000200,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0002,0.02,0.12000000000000001,True,152281,11292,140989,7.415238933287803,42920.283932590064,6.288415233511502,40314.98984427317,1.74258099220299,42985.74163795209,14.877292813070397,36675.74969379096,42929.90738703936,14.106478107920328,36959.902921628265,267412,152281,0,9079,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.4,6.2,315,0.08,50591.202383140204,-10276.212538867032,10780.151324038408,0.07889969397483299,0.06020399112720676,9843.762357793348,-0.0525368201592773,9915.256550506332,-0.058129384503203596,True,False,False,True,False,True,True,True,338.59249400001136,5.643208233333523,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C00_short_main2_v1_same_slip000200,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0002,0.02,0.12000000000000001,True,154311,11752,142559,7.61578889385721,31390.229195569354,6.209515539536669,29534.838520234764,1.6823770010757833,31441.005760673288,14.929829633229675,26831.98733599761,31407.56999070607,14.164607492423531,27044.646371121933,267412,154311,0,10206,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.3,6.2,285,0.075,50591.202383140204,-21056.36386290544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,428.90268249998917,7.148378041666486,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C03_stop240_score270_timeout315_slip000500,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.0005,0.05,0.18,True,152665,11097,141568,7.268856646906626,16172.760801872133,6.732519147844018,15177.194065003236,1.603866773270529,16198.53001573891,14.738616500820601,13896.352181448017,16177.41544202012,13.982474730769145,14001.429941017343,267412,152665,0,9376,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.4,6.2,315,0.08,50591.202383140204,-35414.00831813697,3858.916293926155,0.07394705449450534,0.05172193832189742,3548.011565451363,-0.07904935209840325,3576.4471250189017,-0.09576016585331004,True,False,False,True,False,True,True,True,413.78881890000775,6.8964803150001295,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C01_score265_stop235_timeout300_slip000500,C01_score265_stop235_timeout300,realism_audit_no_position_limit,0.0005,0.05,0.18,True,161217,11751,149466,7.288933549191462,15716.75462402381,6.996120888930535,14710.195349821593,1.5707063149862452,15752.932207891203,14.780935825722585,13509.720471747498,15732.64873467992,14.03440062347806,13610.63138194691,281978,161217,0,10284,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.65,2.35,6.2,300,0.08,50591.202383140204,-35881.00703331861,3391.917578744513,0.33754879558102235,0.01856148003761371,3161.3798557508435,-0.03673002719641971,3185.6485659484697,-0.04383427314439459,True,False,False,True,False,True,True,True,492.4859006999759,8.208098344999598,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C00_short_main2_v1_same_slip000500,C00_short_main2_v1_same,realism_audit_no_position_limit,0.0005,0.05,0.18,True,154742,11554,143188,7.466621860903956,12025.67455299306,6.6585720933495125,11318.27777107708,1.5521448349486315,12048.45862069074,14.817665852919005,10348.340615996654,12033.11063088093,14.078234896622455,10424.98281599844,267412,154742,0,10517,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.3,6.2,285,0.075,50591.202383140204,-39272.92461206312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,False,False,554.7034831999918,9.245058053333196,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C03_stop240_score270_timeout315_slip001000,C03_stop240_score270_timeout315,realism_audit_no_position_limit,0.001,0.1,0.27999999999999997,True,153396,10738,142658,7.000182534094761,3136.2875378872827,9.332031249751028,2934.2761735198437,1.3983242641311544,3142.7460148764317,14.739059982483072,2764.795734664215,3138.6774012127944,14.019233315585588,2784.6396599976288,267412,153396,1,9880,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.7,2.4,6.2,315,0.08,50591.202383140204,-47656.92620962036,711.0173490911893,-0.14211217424167089,0.04072650249086296,665.5339560953803,-0.08110531390950193,671.4868143403628,-0.12213016811988453,True,False,False,True,False,True,True,True,430.4991981999774,7.17498663666629,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
SMAUD_C01_score265_stop235_timeout300_slip001000,C01_score265_stop235_timeout300,realism_audit_no_position_limit,0.001,0.1,0.27999999999999997,True,162030,11386,150644,7.027093748071344,2799.7780366478596,8.850938084351078,2643.120478040546,1.3653002763568722,2807.6634422439647,14.87581124786419,2475.124916852602,2803.9777464275767,14.188602869691891,2491.9438765627397,281978,162030,10,10813,364,364,0,0,0.025,0.03,0.004,0.75,0.16,0.94,0.095,2.65,2.35,6.2,300,0.08,50591.202383140204,-47948.08190509966,419.8616536118916,-0.6232053396416202,0.007702514716580788,375.86313828376706,0.05564595147161633,378.7910309054737,0.04723938598641908,True,False,False,True,False,True,True,True,422.11869059997844,7.035311509999641,549.7240378000133,9.162067296666889,6131.486549900001,102.19144249833334
