strategy,axis,family,description,audit_mode,slippage_per_side,slippage_per_side_pct,round_trip_slippage,round_trip_slippage_pct,total_round_trip_cost,total_round_trip_cost_pct,entry_mode,precompute_signals,initial_asset,position_fraction,leverage,fee_per_side,round_trip_fee,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_close_min_equity,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,mtm_worstbar_min_equity,generated_signals,executed_entries,blocked_entries,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,short_dev,short_wick_mult,score_min_short,score_dev_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,dd_brake_trigger_pct,dd_brake_freeze_steps,ret12_min,ret3_min,volume_spike_min,upper_range_ratio_min,close_position_max,green_streak_min,ema20_slope12_min,ema20_slope12_max,range_spike_min,dist_roll_high20_min,climax_score_min,load_errors,candidate_key,strategy_elapsed_seconds,strategy_elapsed_minutes,strategy_started_at,strategy_finished_at,parent_reference_source,parent_strategy,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_profit_factor,source_retest_strategy,source_trades,source_max_return_pct,source_max_drawdown_pct,source_official_cd_value,source_profit_factor,delta_vs_source_trades,delta_vs_source_max_return_pct,delta_vs_source_max_drawdown_pct,delta_vs_source_official_cd_value,delta_vs_source_profit_factor,gate_mdd_under_10,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_active_leftover_zero,gate_pending_leftover_zero,gate_environment_lock_pass,gate_realized_mdd10_pass,gate_mtm_audit_pass,total_elapsed_seconds,total_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,run_started_at,run_finished_at,delta_vs_same_slip_baseline_official_cd_value,delta_vs_same_slip_baseline_max_return_pct,delta_vs_same_slip_baseline_max_drawdown_pct,delta_vs_same_slip_baseline_profit_factor,delta_vs_same_slip_baseline_mtm_close_cd_value,delta_vs_same_slip_baseline_mtm_close_max_drawdown_pct,delta_vs_same_slip_baseline_mtm_worstbar_cd_value,delta_vs_same_slip_baseline_mtm_worstbar_max_drawdown_pct,gate_improve_vs_same_slip_baseline,gate_mtm_close_improve_vs_same_slip_baseline,gate_mtm_worstbar_improve_vs_same_slip_baseline
SMAUD_C01_score265_stop235_timeout300_slip000000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C01_score265_stop235_timeout300 | 최근 1위 후보, score 완화 + stop/timeout 확장 | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,160477,12038,148439,7.501386491522149,75972.49313878706,75972.49313878706,6.264955432449848,71306.58534728858,1.7878471525000421,76139.39254894173,15.354985574586754,64532.84482089916,99.65438523442081,76041.80681325341,14.513309270475784,65091.11090631774,99.64940604358702,281978,160477,0,364,364,9754,0,0,0.025,1.3,2.35,1.3,2.35,6.2,300,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.65,0,C01_score265_stop235_timeout300,436.40198610001244,7.273366435000208,2026-05-30T01:19:32,2026-05-30T01:26:48,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,6462,22296.030496602092,0.3418059678993668,20715.382964148375,0.023012072991526855,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,20715.382964148375,22296.030496602092,0.3418059678993668,0.023012072991526855,18788.87802081609,0.2847552239726099,18972.60309891269,0.22934771675778975,True,True,True
SMAUD_C03_stop240_score270_timeout315_slip000000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,152030,11364,140666,7.4748404920081555,73746.55353592646,73746.55353592646,5.888592725709996,69498.03075622236,1.8286053579584032,73855.85996080964,15.017466599306728,62849.56339296499,99.67203709955612,73760.00634635029,14.23277215250176,63347.67993125091,99.66705702675407,267412,152030,0,364,364,8883,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C03_stop240_score270_timeout315,441.0713645000069,7.351189408333449,2026-05-30T01:50:42,2026-05-30T01:58:03,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-1985,20070.090893741493,-0.034556738840485046,18906.828373082157,0.06377027844988792,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,18906.828373082157,20070.090893741493,-0.034556738840485046,0.06377027844988792,17105.59659288192,-0.05276375130741684,17229.172123845856,-0.05118940121623439,True,True,True
SMAUD_C00_short_main2_v1_same_slip000000,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,154015,11824,142191,7.6771743012044285,53676.46264218497,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,53760.933555957025,15.070230350614144,45743.96680008307,99.66778008460307,53703.825565629,14.283961553717994,46118.507807405054,99.66102827648606,267412,154015,0,364,364,9995,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C00_short_main2_v1_same,485.5168521000014,8.091947535000024,2026-05-30T00:46:21,2026-05-30T00:54:26,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,0,0.0,0.0,0.0,0.0,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
SMAUD_C01_score265_stop235_timeout300_slip000200,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C01_score265_stop235_timeout300 | 최근 1위 후보, score 완화 + stop/timeout 확장 | slippage_per_side=0.0002",realism_audit_no_position_limit,0.0002,0.02,0.0004,0.04,0.0012000000000000001,0.12000000000000001,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,160777,11975,148802,7.448204656138627,43789.83199002306,43789.83199002306,6.435445984834976,41065.325559470315,1.7014692478648643,43887.76473854629,15.243537223803848,37282.473446706725,99.63512842798563,43831.46415935662,14.41574424042792,37598.416645068515,99.63015217054661,281978,160777,0,364,364,9973,0,0,0.025,1.3,2.35,1.3,2.35,6.2,300,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.65,0,C01_score265_stop235_timeout300,519.1181726000214,8.651969543333689,2026-05-30T01:26:48,2026-05-30T01:35:27,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,6762,-9886.630652161904,0.5122965202844947,-9525.876823669889,-0.06336583164365095,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,11530.487039235551,12399.602794453709,0.22593044529830664,0.019092246789081058,10450.486110709113,0.3137075905741735,10553.770273946582,0.251136748004388,True,True,True
SMAUD_C03_stop240_score270_timeout315_slip000200,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0002",realism_audit_no_position_limit,0.0002,0.02,0.0004,0.04,0.0012000000000000001,0.12000000000000001,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,152281,11292,140989,7.415238933287803,42920.283932590064,42920.283932590064,6.288415233511502,40314.98984427317,1.74258099220299,42985.74163795209,14.877292813070397,36675.74969379096,99.6263186252009,42929.90738703936,14.106478107920328,36959.902921628265,99.6213428077658,267412,152281,0,364,364,9079,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C03_stop240_score270_timeout315,338.59249400001136,5.643208233333523,2026-05-30T01:58:03,2026-05-30T02:03:41,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-1734,-10756.178709594904,0.36526576896102103,-10276.212538867032,-0.02225408730552525,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,10780.151324038408,11530.05473702071,0.07889969397483299,0.06020399112720676,9843.762357793348,-0.0525368201592773,9915.256550506332,-0.058129384503203596,True,True,True
SMAUD_C00_short_main2_v1_same_slip000200,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0002,realism_audit_no_position_limit,0.0002,0.02,0.0004,0.04,0.0012000000000000001,0.12000000000000001,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,154311,11752,142559,7.61578889385721,31390.229195569354,31390.229195569354,6.209515539536669,29534.838520234764,1.6823770010757833,31441.005760673288,14.929829633229675,26831.98733599761,99.61409542009443,31407.56999070607,14.164607492423531,27044.646371121933,99.60754941324241,267412,154311,0,364,364,10206,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C00_short_main2_v1_same,428.90268249998917,7.148378041666486,2026-05-30T00:54:26,2026-05-30T01:01:35,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,296,-22286.233446615614,0.28636607498618805,-21056.36386290544,-0.08245807843273201,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
SMAUD_C03_stop240_score270_timeout315_slip000500,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.0005",realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,152665,11097,141568,7.268856646906626,16172.760801872133,16172.760801872133,6.732519147844018,15177.194065003236,1.603866773270529,16198.53001573891,14.738616500820601,13896.352181448017,99.54052401193026,16177.41544202012,13.982474730769145,14001.429941017343,99.53555543209043,267412,152665,0,364,364,9376,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C03_stop240_score270_timeout315,413.78881890000775,6.8964803150001295,2026-05-30T02:03:42,2026-05-30T02:10:35,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-1350,-37503.70184031283,0.8093696832935366,-35414.00831813697,-0.1609683062379863,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,3858.916293926155,4147.0862488790735,0.07394705449450534,0.05172193832189742,3548.011565451363,-0.07904935209840325,3576.4471250189017,-0.09576016585331004,True,True,True
SMAUD_C01_score265_stop235_timeout300_slip000500,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C01_score265_stop235_timeout300 | 최근 1위 후보, score 완화 + stop/timeout 확장 | slippage_per_side=0.0005",realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,161217,11751,149466,7.288933549191462,15716.75462402381,15716.75462402381,6.996120888930535,14710.195349821593,1.5707063149862452,15752.932207891203,14.780935825722585,13509.720471747498,99.57021000877829,15732.64873467992,14.03440062347806,13610.63138194691,99.56396984902418,281978,161217,0,364,364,10284,0,0,0.025,1.3,2.35,1.3,2.35,6.2,300,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.65,0,C01_score265_stop235_timeout300,492.4859006999759,8.208098344999598,2026-05-30T01:35:27,2026-05-30T01:43:40,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,7202,-37959.70801816116,1.0729714243800537,-35881.00703331861,-0.19412876452227001,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,3391.917578744513,3691.0800710307503,0.33754879558102235,0.01856148003761371,3161.3798557508435,-0.03673002719641971,3185.6485659484697,-0.04383427314439459,True,True,True
SMAUD_C00_short_main2_v1_same_slip000500,short_main,short_main2_v1_realism_audit,realism audit no position limit: C00_short_main2_v1_same | short_main2/v1 공식 기준선 동일 조건 감사 | slippage_per_side=0.0005,realism_audit_no_position_limit,0.0005,0.05,0.001,0.1,0.0018,0.18,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,154742,11554,143188,7.466621860903956,12025.67455299306,12025.67455299306,6.6585720933495125,11318.27777107708,1.5521448349486315,12048.45862069074,14.817665852919005,10348.340615996654,99.57176046850437,12033.11063088093,14.078234896622455,10424.98281599844,99.56552021158146,267412,154742,0,364,364,10517,0,0,0.025,1.3,2.35,1.3,2.3,6.2,285,3,0.0,12,0.075,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C00_short_main2_v1_same,554.7034831999918,9.245058053333196,2026-05-30T01:01:35,2026-05-30T01:10:50,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,727,-41650.788089191905,0.7354226287990313,-39272.92461206312,-0.21269024455988372,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
SMAUD_C03_stop240_score270_timeout315_slip001000,short_main,short_main2_v1_realism_audit,"realism audit no position limit: C03_stop240_score270_timeout315 | 최근 2위 후보, stop/timeout 확장 방어 균형형 | slippage_per_side=0.001",realism_audit_no_position_limit,0.001,0.1,0.002,0.2,0.0028,0.27999999999999997,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,153396,10738,142658,7.000182534094761,3136.2875378872827,3136.2875378872827,9.332031249751028,2934.2761735198437,1.3983242641311544,3142.7460148764317,14.739059982483072,2764.795734664215,99.44511569590105,3138.6774012127944,14.019233315585588,2784.6396599976288,99.41145633791537,267412,153396,1,364,364,9880,0,0,0.025,1.3,2.35,1.3,2.4,6.2,315,3,0.0,12,0.08,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,0,C03_stop240_score270_timeout315,430.4991981999774,7.17498663666629,2026-05-30T02:10:35,2026-05-30T02:17:46,fixed_official_short_main2_v1_reference,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,SM52_B04_stop230_score270_single_retest,154015,53676.46264218497,5.923149464550481,50591.202383140204,1.7648350795085153,-619,-50540.17510429768,3.4088817852005464,-47656.92620962036,-0.36651081537736085,True,False,False,True,True,True,True,True,False,6131.486549900001,102.19144249833334,549.7240378000133,9.162067296666889,2026-05-30T00:35:34,2026-05-30T02:17:46,711.0173490911893,780.3496340443485,-0.14211217424167089,0.04072650249086296,665.5339560953803,-0.08110531390950193,671.4868143403628,-0.12213016811988453,True,True,True
