candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
V3MIX07_N02_stop255_rr630_t375,0.0,97353.0658974033
V4R00_top1_ref_stop260_rr625_t390_ff15,0.0,107826.64931445396
V4R01_stop260_rr625_t405_ff15,0.0,105172.63545404111
V4R02_stop260_rr625_t420_ff16,0.0,103231.94205016608
V4R03_stop260_rr630_t390_ff15,0.0,109324.1988193777
V4R04_stop258_rr625_t390_ff15,0.0,105413.06560772103
V4R05_stop262_rr620_t390_ff15,0.0,111166.12280897668
V4R06_stop262_rr625_t405_ff16,0.0,110510.5467282565
V4R07_stop255_rr625_t390_ff15,0.0,99504.53157723258
V4R08_stop260_rr615_t390_ff15,0.0,107793.42091504279
