candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
V3MIX07_N02_stop255_rr630_t375,0.0,106973.54619066067
V4R00_top1_ref_stop260_rr625_t390_ff15,0.0,118269.16148810525
V4R01_stop260_rr625_t405_ff15,0.0,115039.25490606781
V4R02_stop260_rr625_t420_ff16,0.0,112775.90982449542
V4R03_stop260_rr630_t390_ff15,0.0,119928.65360112124
V4R04_stop258_rr625_t390_ff15,0.0,115535.26317762106
V4R05_stop262_rr620_t390_ff15,0.0,121971.9830795917
V4R06_stop262_rr625_t405_ff16,0.0,120935.11451839378
V4R07_stop255_rr625_t390_ff15,0.0,108954.8230748702
V4R08_stop260_rr615_t390_ff15,0.0,118199.38049434744
