period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,target_expected_trades,delta_vs_target_expected_trades,target_expected_max_return_pct,delta_vs_target_expected_max_return_pct,target_expected_max_drawdown_pct,delta_vs_target_expected_max_drawdown_pct,target_expected_official_cd_value,delta_vs_target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,gate_beats_v4_cd,gate_beats_v4_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v4,gate_mtm_worstbar_mdd_better_or_equal_v4,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R05_stop262_rr620_t390_ff15_slip000000,V4R05_stop262_rr620_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148281,10414,137867,7.023151988454354,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,149151,-870,113147.92211118022,16086.40197086506,5.540389442518634,0.15209865351314367,106973.54619066067,14998.436888931028,1.9543969406097241,0.04442447041483777,129425.12865516917,14.81208179975927,110339.76064752208,129251.72583305926,14.059033930133126,111166.12280897668,267412,148281,0,6944,364,364,0,0,2.7,2.62,6.2,390,0.09,14998.436888931028,0.15209865351314367,0.04442447041483777,13813.056911573382,0.012113713280760052,True,False,False,True,True,True,True,False,False,True,True,True,False,False,121971.9830795917,,,,,111166.12280897668,,,,,UNKNOWN,597,664093,263.23097530000086,4.387182921666681,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R06_stop262_rr625_t405_ff16_slip000000,V4R06_stop262_rr625_t405_ff16,realism_audit_no_position_limit,0.0,0.0,0.08,True,148008,10271,137737,6.939489757310416,128476.74303670917,5.943243185226487,120935.11451839378,2.0089665142565702,149151,-1143,113147.92211118022,15328.820925528955,5.540389442518634,0.4028537427078529,106973.54619066067,13961.568327733112,1.9543969406097241,0.054569573646846115,128664.50183490297,14.812651359764095,109691.06510296176,128489.69548281557,14.059562616333531,110510.5467282565,267412,148008,0,6932,364,364,0,0,2.7,2.62,6.25,405,0.092,13961.568327733112,0.4028537427078529,0.054569573646846115,13157.480830853194,0.012642399481165967,True,False,False,True,True,True,True,False,False,True,True,True,False,False,120935.11451839378,,,,,110510.5467282565,,,,,UNKNOWN,597,664093,261.028945500002,4.350482425000034,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R03_stop260_rr630_t390_ff15_slip000000,V4R03_stop260_rr630_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148437,10426,138011,7.023855238249224,127087.26384141122,5.707026019005069,119928.65360112124,1.9925282840370782,149151,-714,113147.92211118022,13939.341730230997,5.540389442518634,0.16663657648643415,106973.54619066067,12955.10741046058,1.9543969406097241,0.038131343427354025,127274.45561592278,14.809636320289844,108510.76197425563,127103.37361927518,14.055582246906884,109324.1988193777,267412,148437,0,7089,364,364,0,0,2.7,2.6,6.3,390,0.09,12955.10741046058,0.16663657648643415,0.038131343427354025,11971.132921974408,0.008662030054518155,True,False,False,True,True,True,True,False,False,True,True,True,False,False,119928.65360112124,,,,,109324.1988193777,,,,,UNKNOWN,597,664093,261.9445299000072,4.365742165000119,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R00_top1_ref_stop260_rr625_t390_ff15_slip000000,V4R00_top1_ref_stop260_rr625_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148453,10429,138024,7.02511906125171,125345.02580301308,5.720325910870394,118269.16148810525,1.9903199261653526,149151,-698,113147.92211118022,12197.103691832861,5.540389442518634,0.1799364683517597,106973.54619066067,11295.615297444587,1.9543969406097241,0.03592298555562845,125529.65210163752,14.809636320289865,107024.3575149396,125360.91082288278,14.055582246906905,107826.64931445396,267412,148453,0,7090,364,364,0,0,2.7,2.6,6.25,390,0.09,11295.615297444587,0.1799364683517597,0.03592298555562845,10473.583417050657,0.008662030054539471,True,False,False,True,True,True,True,False,False,True,True,True,False,False,118269.16148810525,,,,,107826.64931445396,,,,,UNKNOWN,597,664093,262.3425042000017,4.372375070000029,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R08_stop260_rr615_t390_ff15_slip000000,V4R08_stop260_rr615_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148522,10439,138083,7.0285883572804035,125306.37607185681,5.74691319792211,118199.38049434744,1.9878702187218689,149151,-629,113147.92211118022,12158.45396067659,5.540389442518634,0.20652375540347556,106973.54619066067,11225.834303686774,1.9543969406097241,0.03347327811214473,125490.94296206733,14.809636320289755,106991.38105816262,125322.24816126958,14.055582246906795,107793.42091504279,267412,148522,0,7093,364,364,0,0,2.7,2.6,6.15,390,0.09,11225.834303686774,0.20652375540347556,0.03347327811214473,10440.355017639493,0.008662030054429337,True,False,False,True,True,True,True,False,False,True,True,True,False,False,118199.38049434744,,,,,107793.42091504279,,,,,UNKNOWN,597,664093,260.23176499998954,4.337196083333159,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R04_stop258_rr625_t390_ff15_slip000000,V4R04_stop258_rr625_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148660,10443,138217,7.024754473294767,122533.12024610754,5.787879370794835,115535.26317762106,1.9774293480961767,149151,-491,113147.92211118022,9385.198134927326,5.540389442518634,0.24748992827620064,106973.54619066067,8561.716986960397,1.9543969406097241,0.023032407486452522,122713.17612054666,14.807188944868898,104627.9970831827,122547.67367766064,14.052127980213601,105413.06560772103,267412,148660,0,7247,364,364,0,0,2.7,2.58,6.25,390,0.09,8561.716986960397,0.24748992827620064,0.023032407486452522,8059.99971031773,0.005207763361235962,True,False,False,True,True,True,True,False,False,True,True,True,False,False,115535.26317762106,,,,,105413.06560772103,,,,,UNKNOWN,597,664093,264.80660630000057,4.413443438333343,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R01_stop260_rr625_t405_ff15_slip000000,V4R01_stop260_rr625_t405_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148196,10287,137909,6.941482901022969,122261.49969735152,5.9841084077871916,115039.25490606781,1.9957720351029034,149151,-955,113147.92211118022,9113.577586171305,5.540389442518634,0.44371896526855714,106973.54619066067,8065.708715407149,1.9543969406097241,0.04137509449317922,122439.75143057207,14.809636320289743,104392.05989591731,122272.85236626769,14.055582246906795,105172.63545404111,267412,148196,0,7079,364,364,0,0,2.7,2.6,6.25,405,0.09,8065.708715407149,0.44371896526855714,0.04137509449317922,7819.569556637813,0.008662030054429337,True,False,False,True,True,True,True,False,False,True,True,True,False,False,115039.25490606781,,,,,105172.63545404111,,,,,UNKNOWN,597,664093,267.32986450000317,4.455497741666719,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R02_stop260_rr625_t420_ff16_slip000000,V4R02_stop260_rr625_t420_ff16,realism_audit_no_position_limit,0.0,0.0,0.08,True,147975,10132,137843,6.847102551106605,120005.39082558146,6.1025412354138275,112775.90982449542,1.998238426388517,149151,-1176,113147.92211118022,6857.468714401242,5.540389442518634,0.5621517928951931,106973.54619066067,5802.363633834757,1.9543969406097241,0.043841485778792766,120179.9692543302,14.81020589207953,102466.25816083392,120015.51163395598,14.056110950300448,103231.94205016608,267412,147975,0,7071,364,364,0,0,2.7,2.6,6.25,420,0.092,5802.363633834757,0.5621517928951931,0.043841485778792766,5878.876152762779,0.009190733448082966,True,False,False,True,True,True,True,False,False,True,True,True,False,False,112775.90982449542,,,,,103231.94205016608,,,,,UNKNOWN,597,664093,260.8784323,4.3479738716666665,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4TOPPARAM_V4R07_stop255_rr625_t390_ff15_slip000000,V4R07_stop255_rr625_t390_ff15,realism_audit_no_position_limit,0.0,0.0,0.08,True,148967,10460,138507,7.021689367443797,115653.75630460282,5.8736177959023745,108954.8230748702,1.96025928844352,149151,-184,113147.92211118022,2505.8341934226046,5.540389442518634,0.33322835338374013,106973.54619066067,1981.2768842095393,1.9543969406097241,0.0058623478337958,115823.09777969244,14.803514321510969,98762.4053979365,115666.10381882096,14.046920216852477,99504.53157723258,267412,148967,0,7465,364,364,0,0,2.7,2.55,6.25,390,0.09,1981.2768842095393,0.33322835338374013,0.0058623478337958,2151.4656798292854,1.1191048088221578e-13,True,False,False,True,True,True,True,False,False,True,True,True,False,False,108954.8230748702,,,,,99504.53157723258,,,,,UNKNOWN,597,664093,260.78867509998963,4.346477918333161,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
FULL_TRAIN_TO_2025_END,SM2V4_OFFICIAL_V3MIX07_BASELINE_slip000000,V3MIX07_N02_stop255_rr630_t375,realism_audit_no_position_limit,0.0,0.0,0.08,True,149151,10603,138548,7.108903057974804,113147.92211118022,5.540389442518634,106973.54619066067,1.9543969406097241,149151,0,113147.92211118022,0.0,5.540389442518634,0.0,106973.54619066067,0.0,1.9543969406097241,0.0,113314.48713387063,14.803514321510857,96625.15728834,113163.03390526188,14.046920216852365,97353.0658974033,267412,149151,0,7479,364,364,0,0,2.7,2.55,6.3,375,0.088,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,False,False,True,True,True,False,False,True,True,106973.54619066067,,,,,97353.0658974033,,,,,UNKNOWN,597,664093,299.8482897999929,4.997471496666549,415.87675539999327,6.931279256666555,3269.0660320000025,54.484433866666706
