strategy,axis,family,description,audit_mode,slippage_per_side,slippage_per_side_pct,round_trip_slippage,round_trip_slippage_pct,total_round_trip_cost,total_round_trip_cost_pct,entry_mode,precompute_signals,initial_asset,position_fraction,leverage,fee_per_side,round_trip_fee,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_close_min_equity,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,mtm_worstbar_min_equity,generated_signals,executed_entries,blocked_entries,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,short_dev,short_wick_mult,score_min_short,score_dev_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,dd_brake_trigger_pct,dd_brake_freeze_steps,ret12_min,ret3_min,volume_spike_min,upper_range_ratio_min,close_position_max,green_streak_min,ema20_slope12_min,ema20_slope12_max,range_spike_min,dist_roll_high20_min,climax_score_min,period_label,target_retest_strategy,target_expected_trades,target_expected_max_return_pct,target_expected_max_drawdown_pct,target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_trades,delta_vs_target_expected_max_return_pct,delta_vs_target_expected_max_drawdown_pct,delta_vs_target_expected_official_cd_value,delta_vs_target_expected_profit_factor,delta_vs_target_expected_mtm_worstbar_max_drawdown_pct,delta_vs_target_expected_mtm_worstbar_cd_value,period_start,period_end,period_days,period_loaded_symbols,period_timeline_count,load_errors,candidate_key,strategy_elapsed_seconds,strategy_elapsed_minutes,strategy_started_at,strategy_finished_at,parent_reference_source,parent_strategy,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_profit_factor,parent_mtm_close_max_drawdown_pct,parent_mtm_worstbar_max_drawdown_pct,parent_mtm_worstbar_cd_value,source_retest_strategy,source_trades,source_max_return_pct,source_max_drawdown_pct,source_official_cd_value,source_profit_factor,delta_vs_source_trades,delta_vs_source_max_return_pct,delta_vs_source_max_drawdown_pct,delta_vs_source_official_cd_value,delta_vs_source_profit_factor,delta_vs_source_mtm_close_max_drawdown_pct,delta_vs_source_mtm_worstbar_max_drawdown_pct,delta_vs_source_mtm_worstbar_cd_value,gate_beats_v5_cd,gate_beats_v5_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v5,gate_mtm_worstbar_mdd_better_or_equal_v5,gate_mdd_under_10,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_active_leftover_zero,gate_pending_leftover_zero,gate_environment_lock_pass,gate_realized_mdd10_pass,gate_mtm_audit_pass,total_elapsed_seconds,total_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,run_started_at,run_finished_at,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_return_pct,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_close_cd_value,delta_vs_same_period_baseline_mtm_close_max_drawdown_pct,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag
SM2V5M01RETEST_V5M01_D02_D03_rr615_stop265_t390_slip000000,short_main,short_main2_v5_v5m01_single_retest_q4_2026,"V5M01 single retest, Q4 dependency, and 2026 validation: V5M01_D02_D03_rr615_stop265_t390 | topmix v1.1 1위 후보 단독 리테스트, 2025 Q4 의존성 점검, 2026 Q1 validation | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,22827,1760,21067,7.71016778376484,367.33253298576057,367.33253298576057,5.673964657377228,440.8162502317228,2.0711741192600472,367.93208044068615,7.220260830003689,434.1461637256059,99.95985069982534,367.33253298576057,7.312974789031202,433.156622667571,99.77230939692095,43579,22827,0,200,200,1163,0,0,0.025,1.3,2.35,1.3,2.65,6.15,390,3,0.0,15,0.092,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-125454,-128866.99154905952,-0.018523438654550084,-121531.16682935997,0.07235270823548534,-6.746059141101924,-110732.96618630912,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,V5M01_D02_D03_rr615_stop265_t390,6.095131899997796,0.10158553166662992,2026-06-09T18:38:33,2026-06-09T18:38:39,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-125454,-128866.99154905952,-0.018523438654550084,-121531.16682935997,0.07235270823548534,-7.591820969755581,-6.746059141101924,-110732.96618630912,False,False,True,True,True,True,True,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,6.579011056662409,6.884334949079914,-0.01852343865224082,0.022747401354900276,6.58883076477116,-0.05975537532830799,6.459348793565994,-0.029507622675595258,True,True,False,False,True,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED
SM2V5_OFFICIAL_V4R05_BASELINE_slip000000,short_main,short_main2_v5_official_frozen_baseline,official independent frozen baseline: V4R05_stop262_rr620_t390_ff15 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,22865,1763,21102,7.710474524382244,360.44819803668065,360.44819803668065,5.692488096029469,434.2372391750604,2.048426717905147,361.1274888784245,7.280016205331997,427.55733296083474,99.95985069982534,360.5101506927443,7.342482411706797,426.697273874005,99.75737576636637,43579,22865,0,200,200,1193,0,0,0.025,1.3,2.35,1.3,2.62,6.2,390,3,0.0,15,0.09,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2025_Q4_ONLY,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-125416,-128873.8758840086,-2.3092638912203256e-12,-121537.74584041664,0.049605306880585065,-6.7165515184263285,-110739.42553510268,2025-10-01 00:00:00,2025-12-31 23:59:59,91.99998842592592,597,26496,0,V4R05_stop262_rr620_t390_ff15,15.702903000001243,0.2617150500000207,2026-06-09T18:38:17,2026-06-09T18:38:32,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-125416,-128873.8758840086,-2.3092638912203256e-12,-121537.74584041664,0.049605306880585065,-7.532065594427273,-6.7165515184263285,-110739.42553510268,False,False,True,True,True,True,True,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,121971.9830795917,26794.776804338213,434.2372391750604,0.21967976684328833,0.0035601392074744156,111166.12280897668,24354.33885487651,426.697273874005,0.21908058174095008,0.0038383750651016604,GENERAL_EDGE_CONFIRMED
SM2V5M01RETEST_V5M01_D02_D03_rr615_stop265_t390_slip000000,short_main,short_main2_v5_v5m01_single_retest_q4_2026,"V5M01 single retest, Q4 dependency, and 2026 validation: V5M01_D02_D03_rr615_stop265_t390 | topmix v1.1 1위 후보 단독 리테스트, 2025 Q4 의존성 점검, 2026 Q1 validation | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,1924,190,1734,9.875259875259875,11.779047583268841,11.779047583268841,2.041264882266336,109.4973411392198,2.0164811867731087,11.961306259975846,1.5999098085407337,110.17002633935216,99.93627433141715,11.909602278018316,1.5440683731855143,110.18164150268575,99.84688070602502,3526,1924,0,54,54,128,0,0,0.025,1.3,2.35,1.3,2.65,6.15,390,3,0.0,15,0.092,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2026_Q1_ONLY,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-146357,-129222.545034462,-3.651223213765442,-121862.48573845248,0.017659775748546824,-12.514965556947612,-111055.941167474,2026-01-01 00:00:00,2026-03-31 23:59:59,89.99998842592592,597,3357,0,V5M01_D02_D03_rr615_stop265_t390,0.7136983999989752,0.011894973333316254,2026-06-09T18:38:42,2026-06-09T18:38:43,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-146357,-129222.545034462,-3.651223213765442,-121862.48573845248,0.017659775748546824,-13.212171991218536,-12.514965556947612,-111055.941167474,False,False,True,True,True,True,True,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.26957947884926625,0.24638214424321703,-0.0253079639776832,0.038586049138145784,0.35183424509440897,-0.09698869584472414,0.35063534806502616,-0.09593304827619775,True,True,False,False,True,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED
SM2V5_OFFICIAL_V4R05_BASELINE_slip000000,short_main,short_main2_v5_official_frozen_baseline,official independent frozen baseline: V4R05_stop262_rr620_t390_ff15 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,1932,190,1742,9.834368530020704,11.532665439025624,11.532665439025624,2.066572846244019,109.22776166037053,1.977895137634963,11.713862964086562,1.6968985043854579,109.81819209425775,99.93728320786389,11.6622689526811,1.640001421461712,109.83100615462072,99.8478890069703,3526,1932,0,54,54,135,0,0,0.025,1.3,2.35,1.3,2.62,6.2,390,3,0.0,15,0.09,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,2026_Q1_ONLY,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-146349,-129222.79141660625,-3.625915249787759,-121862.75531793133,-0.02092627338959896,-12.419032508671414,-111056.29180282206,2026-01-01 00:00:00,2026-03-31 23:59:59,89.99998842592592,597,3357,0,V4R05_stop262_rr620_t390_ff15,1.5624586000012641,0.026040976666687737,2026-06-09T18:38:40,2026-06-09T18:38:42,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-146349,-129222.79141660625,-3.625915249787759,-121862.75531793133,-0.02092627338959896,-13.11518329537381,-12.419032508671414,-111056.29180282206,False,False,True,True,True,True,True,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,121971.9830795917,26794.776804338213,434.2372391750604,0.21967976684328833,0.0035601392074744156,111166.12280897668,24354.33885487651,426.697273874005,0.21908058174095008,0.0038383750651016604,GENERAL_EDGE_CONFIRMED
SM2V5M01RETEST_V5M01_D02_D03_rr615_stop265_t390_slip000000,short_main,short_main2_v5_v5m01_single_retest_q4_2026,"V5M01 single retest, Q4 dependency, and 2026 validation: V5M01_D02_D03_rr615_stop265_t390 | topmix v1.1 1위 후보 단독 리테스트, 2025 Q4 의존성 점검, 2026 Q1 validation | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,125092,8645,116447,6.9109135676142355,30115.688817254006,30115.688817254006,5.348317279664672,28599.657911071103,1.8795559613757322,30185.055461602242,14.815878153181938,25798.05854578768,99.7127186902227,30121.465288183037,14.064329010647825,25971.018978214248,99.7077365847815,223592,125092,0,364,364,5567,0,0,0.025,1.3,2.35,1.3,2.65,6.15,390,3,0.0,15,0.092,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-23189,-99118.63526479127,-0.34417081636710645,-93372.32516852059,-0.11926544964882968,0.00529508051469918,-85195.10383076244,,2025-09-30 23:59:59,,552,637597,0,V5M01_D02_D03_rr615_stop265_t390,170.62915509999948,2.843819251666658,2026-06-09T18:35:07,2026-06-09T18:37:58,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-23189,-99118.63526479127,-0.34417081636710645,-93372.32516852059,-0.11926544964882968,0.003796353422668375,0.00529508051469918,-85195.10383076244,False,False,True,False,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,1804.8811067328897,1882.5653207290707,-0.08118184483318913,0.01684160666856971,1606.3229319729217,0.003796353422668375,1616.6801233377373,0.00529508051469918,True,True,False,False,True,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED
SM2V5_OFFICIAL_V4R05_BASELINE_slip000000,short_main,short_main2_v5_official_frozen_baseline,official independent frozen baseline: V4R05_stop262_rr620_t390_ff15 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,125332,8653,116679,6.9040628091788205,28233.123496524935,28233.123496524935,5.429499124497861,26794.776804338213,1.8627143547071625,28298.08287948795,14.81208179975927,24191.73561381476,99.71860530345107,28238.451344702502,14.059033930133126,24354.33885487651,99.71362290388764,223592,125332,0,364,364,5748,0,0,0.025,1.3,2.35,1.3,2.62,6.2,390,3,0.0,15,0.09,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-22949,-101001.20058552035,-0.2629889715339173,-95177.20627525348,-0.1361070563173994,0.0,-86811.78395410017,,2025-09-30 23:59:59,,552,637597,0,V4R05_stop262_rr620_t390_ff15,183.45941870000024,3.057656978333337,2026-06-09T18:32:00,2026-06-09T18:35:04,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-22949,-101001.20058552035,-0.2629889715339173,-95177.20627525348,-0.1361070563173994,0.0,0.0,-86811.78395410017,False,False,True,True,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,121971.9830795917,26794.776804338213,434.2372391750604,0.21967976684328833,0.0035601392074744156,111166.12280897668,24354.33885487651,426.697273874005,0.21908058174095008,0.0038383750651016604,GENERAL_EDGE_CONFIRMED
SM2V5M01RETEST_V5M01_D02_D03_rr615_stop265_t390_slip000000,short_main,short_main2_v5_v5m01_single_retest_q4_2026,"V5M01 single retest, Q4 dependency, and 2026 validation: V5M01_D02_D03_rr615_stop265_t390 | topmix v1.1 1위 후보 단독 리테스트, 2025 Q4 의존성 점검, 2026 Q1 validation | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,150043,10593,139450,7.05997614017315,156325.47659838517,156325.47659838517,5.673964657376429,147549.95034106015,2.0087777609563853,156580.532451736,14.815878153181938,133466.9356739301,99.7127186902227,156508.17703097867,14.064329010647825,134582.28775576403,99.7077365847815,271146,150043,0,364,364,6880,0,0,0.025,1.3,2.35,1.3,2.65,6.15,390,3,0.0,15,0.092,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TO_2026_END,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,1762,27091.15251633989,-0.018523438655349445,25577.967261468453,0.009956349931823372,0.00529508051469918,23416.16494678735,,2026-12-31 23:59:59,,597,667450,0,V5M01_D02_D03_rr615_stop265_t390,274.2543365999991,4.5709056099999845,2026-06-09T18:42:40,2026-06-09T18:47:15,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,1762,27091.15251633989,-0.018523438655349445,25577.967261468453,0.009956349931823372,0.003796353422668375,0.00529508051469918,23416.16494678735,True,True,True,False,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,11525.744336158066,12190.72449993805,-0.018523438655349445,0.022247976672247205,10396.735776392918,0.003796353422668375,10481.507821557781,0.00529508051469918,True,True,False,False,True,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED
SM2V5_OFFICIAL_V4R05_BASELINE_slip000000,short_main,short_main2_v5_official_frozen_baseline,official independent frozen baseline: V4R05_stop262_rr620_t390_ff15 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,150329,10603,139726,7.053196655335964,144134.75209844712,144134.75209844712,5.692488096031778,136024.20600490208,1.986529784284138,144369.07788995528,14.81208179975927,123070.19989753718,99.71860530345107,144302.35618635803,14.059033930133126,124100.77993420625,99.71362290388764,271146,150329,0,364,364,7099,0,0,0.025,1.3,2.35,1.3,2.62,6.2,390,3,0.0,15,0.09,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TO_2026_END,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,2048,14900.428016401842,0.0,14052.222925310387,-0.012291626740423833,0.0,12934.657125229569,,2026-12-31 23:59:59,,597,667450,0,V4R05_stop262_rr620_t390_ff15,187.42323400000168,3.123720566666695,2026-06-09T18:39:23,2026-06-09T18:42:31,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,2048,14900.428016401842,0.0,14052.222925310387,-0.012291626740423833,0.0,0.0,12934.657125229569,True,True,True,True,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,121971.9830795917,26794.776804338213,434.2372391750604,0.21967976684328833,0.0035601392074744156,111166.12280897668,24354.33885487651,426.697273874005,0.21908058174095008,0.0038383750651016604,GENERAL_EDGE_CONFIRMED
SM2V5M01RETEST_V5M01_D02_D03_rr615_stop265_t390_slip000000,short_main,short_main2_v5_v5m01_single_retest_q4_2026,"V5M01 single retest, Q4 dependency, and 2026 validation: V5M01_D02_D03_rr615_stop265_t390 | topmix v1.1 1위 후보 단독 리테스트, 2025 Q4 의존성 점검, 2026 Q1 validation | slippage_per_side=0.0",realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,148003,10403,137600,7.0289115761167,139926.24497527216,139926.24497527216,5.673964657376429,132081.20532432388,2.0207540889059223,140105.8866070272,14.815878153181938,119433.1532837416,99.7127186902227,139926.24497527216,14.064329010647825,120332.49318069416,99.7077365847815,267412,148003,0,364,364,6733,0,0,0.025,1.3,2.35,1.3,2.65,6.15,390,3,0.0,15,0.092,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TRAIN_TO_2025_END,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-278,10691.920893226881,-0.018523438655349445,10109.222244732184,0.02193267788136044,0.00529508051469918,9166.37037171748,,2025-12-31 23:59:59,,597,664093,0,V5M01_D02_D03_rr615_stop265_t390,314.0213932000006,5.233689886666677,2026-06-09T18:23:48,2026-06-09T18:29:02,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,-278,10691.920893226881,-0.018523438655349445,10109.222244732184,0.02193267788136044,0.003796353422668375,0.00529508051469918,9166.37037171748,True,True,True,False,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,10109.222244732184,10691.920893226881,-0.018523438655349445,0.02193267788136044,9093.39263621952,0.003796353422668375,9166.37037171748,0.00529508051469918,True,True,False,False,True,132081.20532432388,28599.657911071103,440.8162502317228,0.21653086705898067,0.003337463866636465,120332.49318069416,25971.018978214248,433.156622667571,0.21582714935703645,0.003599664655972287,GENERAL_EDGE_CONFIRMED
SM2V5_OFFICIAL_V4R05_BASELINE_slip000000,short_main,short_main2_v5_official_frozen_baseline,official independent frozen baseline: V4R05_stop262_rr620_t390_ff15 | slippage_per_side=0.0,realism_audit_no_position_limit,0.0,0.0,0.0,0.0,0.0008,0.08,climax_exhaustion,True,100.0,0.01,1.0,0.0004,0.0008,True,148281,10414,137867,7.023151988454354,129234.32408204528,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,129425.12865516917,14.81208179975927,110339.76064752208,99.71860530345107,129251.72583305926,14.059033930133126,111166.12280897668,99.71362290388764,267412,148281,0,364,364,6944,0,0,0.025,1.3,2.35,1.3,2.62,6.2,390,3,0.0,15,0.09,3,0.03,0.004,0.75,0.16,0.94,0,-0.025,0.095,0.0,-0.08,2.7,FULL_TRAIN_TO_2025_END,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-12-31 23:59:59,,597,664093,0,V4R05_stop262_rr620_t390_ff15,433.50724400000036,7.225120733333339,2026-06-09T18:16:06,2026-06-09T18:23:19,fixed_official_short_main2_v5_reference,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,14.81208179975927,14.059033930133126,111166.12280897668,V4R05_stop262_rr620_t390_ff15,148281,129234.32408204528,5.692488096031778,121971.9830795917,1.998821411024562,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,False,False,True,True,True,True,True,True,2387.254669599999,39.78757782666665,427.08613400000104,7.11810223333335,2026-06-09T18:07:53,2026-06-09T18:47:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,True,121971.9830795917,26794.776804338213,434.2372391750604,0.21967976684328833,0.0035601392074744156,111166.12280897668,24354.33885487651,426.697273874005,0.21908058174095008,0.0038383750651016604,GENERAL_EDGE_CONFIRMED
