active_months,avg_month_pnl,bankrupt,end,equity_model,final_asset,final_return_pct,losses,max_conc,max_conc_unique_symbols,max_drawdown_pct,max_month_pnl,max_return_pct,median_month_pnl,min_month_pnl,negative_months,official_cd_value,peak_asset,period,positive_month_ratio_pct,positive_months,profit_factor,same_bar_trades,start,strategy,tag,trades,win_rate_pct,wins
72,-0.08732961316942639,False,2025-09-30 23:59:59,entry_stake_fixed_realized,93.7122678518013,-6.2877321481987,76689,307,307,24.923140513460552,6.918175288061192,4.845677419555039,-0.062257019918732226,-7.670248577095236,38,70.35622765674634,104.84567741955505,PREQ4_ALL_BEFORE_2025_10_01,47.22222222222222,34,0.9914708251949755,30496,,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,83975,8.67639178326883,7286
75,-0.10992717229429028,False,2025-12-31 23:59:59,entry_stake_fixed_realized,91.75546207792823,-8.244537922071771,90146,307,307,24.923140513460552,7.64065702593625,4.845677419555039,-0.08262576884801831,-8.71500881543163,40,68.88711933547117,104.84567741955505,TRAIN_2025_FULL,46.666666666666664,35,0.9908039216211969,38378,,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,98851,8.806183043165976,8705
76,-0.09774080127431972,False,2026-12-31 23:59:59,entry_stake_fixed_realized,92.5716991031517,-7.428300896848294,91474,307,307,24.923140513460552,7.64065702593625,4.845677419555039,-0.062257019918732226,-8.71500881543163,40,69.4999244599753,104.84567741955505,ALL_TO_2026_END,47.368421052631575,36,0.991842765691677,39020,,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,100360,8.854125149461938,8886
3,4.273829925945823,False,2025-03-31 23:59:59,entry_stake_fixed_realized,112.82148977783747,12.821489777837481,6990,307,307,10.787095965714212,7.807480596897648,14.834991247544082,2.7736541778719754,2.2403550030678474,0,100.6513274055537,114.83499124754408,2025_Q1_ONLY,100.0,3,1.165287922632289,4107,2025-01-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,7754,9.85297910755739,764
3,-1.037842576991892,False,2025-06-30 23:59:59,entry_stake_fixed_realized,96.88647226902432,-3.1135277309756737,7939,225,225,15.49508305228805,3.056549798015425,5.271293307922598,1.6305965178395354,-7.800674046830636,1,81.87383292450697,105.27129330792259,2025_Q2_ONLY,66.66666666666666,2,0.9638085510418555,4214,2025-04-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,8704,8.7890625,765
3,-0.5442547062089366,False,2025-09-30 23:59:59,entry_stake_fixed_realized,98.36723588137319,-1.632764118626806,8983,190,190,10.18559727245002,2.331353339179458,3.143388568664718,1.9707566352870742,-5.934874093093342,1,88.34794538645556,103.14338856866472,2025_Q3_ONLY,66.66666666666666,2,0.9855873347295971,4104,2025-07-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,9905,9.308430085815244,922
3,-0.6935640153369746,False,2025-12-31 23:59:59,entry_stake_fixed_realized,97.91930795398908,-2.0806920460109235,13457,165,165,15.90193320142026,8.153932543634852,0.42519605894972834,-0.9417344918187922,-9.292890097826984,2,82.34824501185274,100.42519605894972,2025_Q4_ONLY,33.33333333333333,1,0.9877626237274026,7882,2025-10-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,14876,9.538854530787846,1419
1,0.8907122912556815,False,2026-12-31 23:59:59,entry_stake_fixed_realized,100.89071229125568,0.8907122912556797,1328,43,43,4.213360814916967,0.8907122912556815,0.8907122912556797,0.8907122912556815,0.8907122912556815,0,96.63982255368529,100.89071229125568,2026_ONLY,100.0,1,1.057912776229518,642,2026-01-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_N02_stop257_rr5075,N02_stop257_rr5075,1509,11.994698475811797,181
72,-0.011336054385739381,False,2025-09-30 23:59:59,entry_stake_fixed_realized,99.18380408422676,-0.8161959157732324,54418,311,311,18.06769908537045,8.360297272112845,7.729403279632829,-0.019125597508221404,-7.626244500901947,38,81.2635728208653,107.72940327963282,PREQ4_ALL_BEFORE_2025_10_01,47.22222222222222,34,0.998438771314889,17922,,RETEST_SMX2V3_B04_M01_S02D_plus_upper020,M01_S02D_plus_upper020,59490,8.525802655908556,5072
75,-0.00843228759557917,False,2025-12-31 23:59:59,entry_stake_fixed_realized,99.36757843033156,-0.6324215696684399,64206,311,311,18.06769908537045,8.360297272112845,7.729403279632829,-0.00159866006541165,-7.626244500901947,39,81.41414337111978,107.72940327963282,TRAIN_2025_FULL,48.0,36,0.9990257299467769,22674,,RETEST_SMX2V3_B04_M01_S02D_plus_upper020,M01_S02D_plus_upper020,70281,8.643872454859777,6075
