active_months,avg_month_pnl,end,final_asset,final_return_pct,losses,max_conc,max_conc_unique_symbols,max_drawdown_pct,max_month_pnl,max_return_pct,median_month_pnl,min_month_pnl,negative_months,official_cd_value,peak_asset,period,positive_month_ratio_pct,positive_months,profit_factor,same_bar_trades,start,strategy,tag,trades,win_rate_pct,wins
76,275.8524637197848,2026-12-31 23:59:59,21064.787242703645,20964.787242703645,98284,325,325,5.655961392725716,5644.852881522234,20970.272210936124,13.085974936278937,-0.45140028877325733,5,19873.371008796516,21070.272210936124,ALL_TO_2026_END,93.42105263157895,71,2.0010696725618833,43108,,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,106337,7.573093090833859,8053
12,4.8448210641135505,2023-12-31 23:59:59,158.1378527693626,58.13785276936261,10257,150,150,1.9196538272639008,10.954238747332539,58.15555450329668,4.378194029900293,0.4662332698212168,0,155.1021534263226,158.15555450329668,2023_FULL_ONLY,100.0,12,1.8189380113743816,3108,2023-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,11172,8.190118152524168,915
3,4.775028488031528,2023-03-31 23:59:59,114.32508546409458,14.325085464094588,3235,124,124,1.7267029478541307,5.836705492003915,14.325085464094588,4.270879811458698,4.217500160631971,0,112.3510308432493,114.32508546409458,2023_Q1_ONLY,100.0,3,1.788019269223446,1343,2023-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,3518,8.044343376918704,283
3,3.4410425191580223,2023-06-30 23:59:59,110.32312755747407,10.323127557474066,1366,40,40,0.7407560159741422,3.933122260408723,10.324010149555264,3.929445845379149,2.460559451686194,0,109.50590235308125,110.32401014955526,2023_Q2_ONLY,100.0,3,2.4326128966174587,277,2023-04-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,1512,9.656084656084655,146
3,2.0289559826565124,2023-09-30 23:59:59,106.08686794796954,6.086867947969532,1762,150,150,1.9196538272637897,4.650536724934042,6.087716649702735,1.0668184426423437,0.3695127803931513,0,104.05036732718206,106.08771664970274,2023_Q3_ONLY,100.0,3,1.5775327011072602,480,2023-07-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,1916,8.037578288100208,154
3,6.063255953591934,2023-12-31 23:59:59,118.1897678607758,18.189767860775795,3832,25,25,1.1023874435097558,8.18702740656903,18.202997860979806,7.550189237032299,2.4525512171744737,0,116.88685870036528,118.2029978609798,2023_Q4_ONLY,100.0,3,1.7767459971835455,1010,2023-10-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,4163,7.950996877251981,331
12,11.216080254309189,2024-12-31 23:59:59,234.59296305171026,134.59296305171026,20032,183,183,1.822985917841291,30.40699556079278,134.5948398104287,7.8295172350608695,3.250580191639301,0,230.31636637103094,234.59483981042874,2024_FULL_ONLY,100.0,12,1.9135547532977255,8926,2024-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,21615,7.323617857969003,1583
3,9.542216211609324,2024-03-31 23:59:59,128.62664863482797,28.62664863482798,5822,81,81,1.2316237398460883,17.139157817897242,28.62767765624923,8.23691062529143,3.250580191639301,0,127.04245229447302,128.62767765624923,2024_Q1_ONLY,100.0,3,1.7819601534322322,2191,2024-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,6319,7.865168539325842,497
3,5.808208884762081,2024-06-30 23:59:59,117.42462665428624,17.424626654286236,4038,183,183,1.1906419005761393,7.2395932505342415,17.463717328687125,5.283370993411381,4.90166241034062,0,116.0265198477452,117.46371732868712,2024_Q2_ONLY,100.0,3,2.0787824064930964,1988,2024-04-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,4328,6.700554528650647,290
3,3.700689573046271,2024-09-30 23:59:59,111.10206871913881,11.102068719138813,3595,98,98,1.2932521833461164,4.07047109405336,11.102068719138813,3.611857143321913,3.41974048176354,0,109.66523878968586,111.10206871913881,2024_Q3_ONLY,100.0,3,1.7756071320306852,1520,2024-07-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,3857,6.792844179414052,262
3,12.984837726087582,2024-12-31 23:59:59,138.95451317826274,38.95451317826275,6503,96,96,1.822985917841291,18.01072466283759,38.95562482326134,14.438819463760538,6.504969051664617,0,136.4213919708181,138.95562482326133,2024_Q4_ONLY,100.0,3,2.0143545031303796,3204,2024-10-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,7034,7.549047483650839,531
75,259.48386331172026,2025-12-31 23:59:59,19561.28974837902,19461.28974837902,96843,325,325,5.655961392725716,5644.852881522234,19461.28974837902,12.992945222159108,-0.45140028877325733,5,18454.91075229149,19561.28974837902,TRAIN_2025_FULL,93.33333333333333,70,2.0040638913290496,42397,,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,104753,7.551096388647581,7910
12,127.47761341605906,2025-12-31 23:59:59,1629.7313609927087,1529.7313609927087,40279,325,325,5.655961392725628,470.2958694208419,1529.7313609927087,43.69581429981187,9.65598279032146,0,1537.5543844098192,1629.7313609927087,2025_FULL_ONLY,100.0,12,2.098346033746182,22328,2025-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,43771,7.977884900961824,3492
72,78.28745951117816,2025-09-30 23:59:59,5736.697084804827,5636.697084804827,82300,325,325,5.655961392725716,1392.967136477875,5636.742978748657,10.411488882855139,-0.45140028877325733,5,5412.231712470644,5736.742978748657,PREQ4_ALL_BEFORE_2025_10_01,93.05555555555556,67,1.9410396856986845,33643,,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,88892,7.415740449084282,6592
3,20.48459545035711,2025-03-31 23:59:59,161.45378635107133,61.45378635107133,7523,325,325,5.655961392725628,28.644765320135463,61.45378635107133,23.153038240614407,9.65598279032146,0,152.32202252796102,161.45378635107133,2025_Q1_ONLY,100.0,3,2.1428443492762224,4476,2025-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,8181,8.04302652487471,658
3,19.55451566314652,2025-06-30 23:59:59,158.66354698943957,58.66354698943957,8544,267,267,2.8716572165906284,23.527568023617846,58.66354698943957,20.74882768482928,14.387151280992441,0,154.10727379221865,158.66354698943957,2025_Q2_ONLY,100.0,3,1.943272321963174,4613,2025-04-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,9240,7.532467532467532,696
3,28.48459984312173,2025-09-30 23:59:59,185.4537995293652,85.4537995293652,9598,213,213,2.9551971699104507,45.03132103028781,85.45528317163058,21.300633243671072,19.121845255406313,0,179.97327409418202,185.45528317163058,2025_Q3_ONLY,100.0,3,1.9151462745198007,4480,2025-07-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,10418,7.870992512958342,820
3,73.25422425837132,2025-12-31 23:59:59,319.76267277511397,219.762672775114,14450,169,169,2.6957650399921262,92.27475631904366,219.762672775114,92.21489254058545,35.273023915484856,0,311.14262243149807,319.76267277511397,2025_Q4_ONLY,100.0,3,2.221224519196206,8696,2025-10-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,15765,8.341262289882652,1315
1,7.834596569526184,2026-12-31 23:59:59,107.83459656952618,7.8345965695261865,1341,33,33,1.1085064239765963,7.834596569526184,7.862675150607057,7.834596569526184,7.834596569526184,0,106.63924313928375,107.86267515060706,2026_FULL_ONLY,100.0,1,2.024525285956021,654,2026-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,1483,9.575185434929198,142
1,7.834596569526184,2026-03-31 23:59:59,107.83459656952618,7.8345965695261865,1341,33,33,1.1085064239765963,7.834596569526184,7.862675150607057,7.834596569526184,7.834596569526184,0,106.63924313928375,107.86267515060706,2026_Q1_ONLY,100.0,1,2.024525285956021,654,2026-01-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,1483,9.575185434929198,142
0,0.0,2026-06-30 23:59:59,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,2026_Q2_ONLY,0.0,0,0.0,0,2026-04-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,0,0.0,0
0,0.0,2026-09-30 23:59:59,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,2026_Q3_ONLY,0.0,0,0.0,0,2026-07-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,0,0.0,0
0,0.0,2026-12-31 23:59:59,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,100.0,100.0,2026_Q4_ONLY,0.0,0,0.0,0,2026-10-01 00:00:00,SMX2V2_C08_EX20_02_N02_stop257_rr5075,solo_N02_stop257_rr5075,0,0.0,0
