active_months,avg_month_pnl,end,final_asset,final_return_pct,losses,max_conc,max_conc_unique_symbols,max_drawdown_pct,max_month_pnl,max_return_pct,median_month_pnl,min_month_pnl,negative_months,official_cd_value,peak_asset,period,positive_month_ratio_pct,positive_months,profit_factor,same_bar_trades,start,strategy,tag,trades,win_rate_pct,wins
75,255.47840803954261,2025-12-31 23:59:59,19260.880602965695,19160.880602965695,96880,325,325,5.657185952128341,5616.324759527994,19160.880602965695,12.786855374535051,-0.4841294357523225,6,18171.256771238506,19260.880602965695,FULL_TRAIN_TO_2025_END,92.0,69,1.998399498007411,42424,,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,104805,7.56166213444015,7925
72,78.2150411625722,2025-09-30 23:59:59,5731.482963705199,5631.482963705199,82332,325,325,5.657185952128341,1451.2416141777803,5631.528815935726,10.019936809442385,-0.4841294357523225,6,5407.242314633839,5731.528815935726,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,91.66666666666666,66,1.9381668354508443,33653,,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,88940,7.42972790645379,6608
3,20.40235856368082,2025-03-31 23:59:59,161.20707569104246,61.20707569104247,7525,325,325,5.657185952128485,28.486423207407057,61.20707569104247,23.155485216175734,9.565167267459671,0,152.08729165121167,161.20707569104246,2025_Q1_ONLY,100.0,3,2.140386030462063,4477,2025-01-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,8183,8.041060735671515,658
3,19.52957878204047,2025-06-30 23:59:59,158.5887363461214,58.58873634612141,8546,267,267,2.961133422227702,23.497414687773926,58.58873634612141,20.64969024107276,14.44163141727472,0,153.89271227028783,158.5887363461214,2025_Q2_ONLY,100.0,3,1.9399597228388281,4621,2025-04-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,9244,7.550843790566854,698
3,29.26884354603278,2025-09-30 23:59:59,187.80653063809834,87.80653063809834,9597,213,213,3.014423022392443,47.55360077004664,87.80803310236315,21.245055240509103,19.00787462754259,0,182.14524734098697,187.80803310236317,2025_Q3_ONLY,100.0,3,1.9331914094970262,4472,2025-07-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,10421,7.907110641972939,824
3,71.72014203699852,2025-12-31 23:59:59,315.16042611099556,215.16042611099556,14455,169,169,2.719964933527441,91.89835817361558,215.16042611099556,88.60045095639157,34.66161698098841,0,306.58817303642087,315.16042611099556,2025_Q4_ONLY,100.0,3,2.203340432635636,8711,2025-10-01 00:00:00,RETEST_SMX2V2_C08_EX20_02_stop256_rr505,gate_retest_ex20_02_stop256_rr505,15769,8.332804870315174,1314
75,251.10939982786172,2025-12-31 23:59:59,18933.20498708963,18833.20498708963,96922,325,325,5.6611608081049365,5506.854265036465,18833.20498708963,12.786516214587039,-0.5067403558053343,6,17861.36580664234,18933.20498708963,FULL_TRAIN_TO_2025_END,92.0,69,1.9901707403597229,42459,,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,104849,7.56039637955536,7927
72,77.09775109462888,2025-09-30 23:59:59,5651.038078813279,5551.038078813279,82366,325,325,5.6611608081049365,1420.1552511736372,5551.083287479579,10.003997163168776,-0.5067403558053343,6,5331.123725844415,5651.083287479579,EXCL_2025_Q4_ALL_BEFORE_2025_10_01,91.66666666666666,66,1.9299984482965622,33683,,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,88976,7.4289696097824125,6610
3,20.345882384741486,2025-03-31 23:59:59,161.03764715422446,61.03764715422446,7525,325,325,5.661160808104759,28.454680678119132,61.03764715422446,23.038737532770753,9.544228943334574,0,151.92104698723548,161.03764715422446,2025_Q1_ONLY,100.0,3,2.1344358134252968,4479,2025-01-01 00:00:00,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,8183,8.041060735671515,658
3,19.395739736356745,2025-06-30 23:59:59,158.18721920907024,58.18721920907024,8549,267,267,3.0061449914792093,23.465329525199067,58.18721920907024,20.440081677686635,14.281808006184534,0,153.43188204165654,158.18721920907024,2025_Q2_ONLY,100.0,3,1.9308042349402352,4627,2025-04-01 00:00:00,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,9246,7.538394981613671,697
3,28.94821276754995,2025-09-30 23:59:59,186.84463830264986,86.84463830264986,9604,213,213,2.9981587221975414,46.955690359613584,86.84613307171443,20.88582585303486,19.003122090001412,0,181.24273948242052,186.84613307171443,2025_Q3_ONLY,100.0,3,1.920138892170991,4471,2025-07-01 00:00:00,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,10427,7.8929701735878,823
3,71.40154749926374,2025-12-31 23:59:59,314.2046424977912,214.2046424977912,14463,168,168,2.7709502061420643,91.3886041382365,214.2046424977912,88.0832346598686,34.732803699686116,0,305.49818830879076,314.2046424977912,2025_Q4_ONLY,100.0,3,2.195418449227616,8716,2025-10-01 00:00:00,SMX2V2_C08_EX20_02_N01_stop255_rr5075,narrow_stop255_rr5075,15777,8.328579577866515,1314
