rank_by_cd_mdd10_first,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v12_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v12,mdd_delta_vs_short_max_v12,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
1,smv12_topmix2_07_mix2_07_top1_reduce_frac000,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66572,5664,60908,8.508081475695487,6964.507074601753,6864.507074601753,6964.507074601753,6864.507074601753,3.269394868786135,6736.809837668476,2.190937542731158,305,305,3524,0,0,0,66572,66572,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,2600.6830053730355,-0.9911393516945473,2600.6830053730355,-0.9911393516945473,57.675,0.961,19.474,0
2,smv12_topmix2_11_mix2_11_top1_timeout280_dd040,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65914,5939,59975,9.01022544527718,6351.528943215361,6251.528943215361,6351.528943215361,6251.528943215361,4.386243772201659,6072.935400503992,1.9747949515519874,305,305,3497,0,0,6,65920,65914,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,280,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,True,True,True,True,True,1936.808568208552,0.12570955172097698,1936.808568208552,0.12570955172097698,61.971,1.033,23.547,0
3,smv12_topmix2_02_mix2_02_top1_timeout280,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65914,5939,59975,9.01022544527718,6341.03287471341,6241.03287471341,6341.03287471341,6241.03287471341,4.548796899505048,6052.592167911851,1.973568979553982,305,305,3497,0,0,10,65924,65914,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,280,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1916.4653356164108,0.2882626790243652,1916.4653356164108,0.2882626790243652,68.076,1.135,14.509,0
4,smv12_topmix2_14_mix2_14_stable_timeout280,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65912,5939,59973,9.010498846947446,6341.110197500001,6241.110197500001,6341.110197500001,6241.110197500001,4.554172654003718,6052.325090925215,1.9735822434293675,305,305,3498,0,0,17,65929,65912,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,280,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1916.1982586297745,0.29363843352303576,1916.1982586297745,0.29363843352303576,71.52,1.192,26.882,0
5,smv12_topmix2_16_mix2_16_stable_timeout240_reduce_frac003,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66290,6023,60267,9.085834967566752,5972.024876963114,5872.024876963114,5972.024876963114,5872.024876963114,3.6502119307620595,5754.033312396128,2.0473493123066686,305,305,3514,0,0,19,66309,66290,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1617.906480100688,-0.6103222897186229,1617.906480100688,-0.6103222897186229,48.882,0.815,28.67,0
6,smv12_topmix2_06_mix2_06_top1_reduce_frac003,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66294,6018,60276,9.077744592270793,5905.746856054619,5805.746856054619,5905.746856054619,5805.746856054619,3.8674027716671056,5677.347838455919,2.0416302363773577,305,305,3515,0,0,28,66322,66294,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1541.2210061604792,-0.39313144881357687,1541.2210061604792,-0.39313144881357687,61.348,1.022,18.513,0
7,smv12_topmix2_10_mix2_10_top1_timeout260_dd040,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66003,6074,59929,9.202612002484734,5826.865349903612,5726.865349903612,5826.865349903612,5726.865349903612,4.386243772201793,5571.284831378881,1.9668039085311613,305,305,3504,0,0,6,66009,66003,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,260,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,True,True,True,True,True,1435.1579990834407,0.1257095517211102,1435.1579990834407,0.1257095517211102,57.929,0.965,22.514,0
8,smv12_topmix2_01_mix2_01_top1_timeout260,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65999,6073,59926,9.201654570523795,5808.042333667918,5708.042333667918,5808.042333667918,5708.042333667918,4.548796899505126,5543.846284072087,1.9651278731480941,305,305,3504,0,0,14,66013,65999,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,260,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1407.7194517766466,0.28826267902444336,1407.7194517766466,0.28826267902444336,84.659,1.411,13.374,0
9,smv12_topmix2_12_mix2_12_top1_timeout260_fail14,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65999,6073,59926,9.201654570523795,5807.380573473396,5707.380573473396,5807.380573473396,5707.380573473396,4.548796899505092,5543.214626004777,1.9651105061184968,305,305,3504,0,0,14,66013,65999,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,260,3,14,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1407.0877937093364,0.2882626790244096,1407.0877937093364,0.2882626790244096,59.403,0.99,24.537,0
10,smv12_topmix2_13_mix2_13_stable_timeout260,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65966,6068,59898,9.198678106903555,5780.479743768767,5680.479743768767,5780.479743768767,5680.479743768767,4.554172654003763,5517.226716007823,1.9648541934835597,305,305,3504,0,0,67,66033,65966,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,260,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1381.0998837123825,0.29363843352308017,1381.0998837123825,0.29363843352308017,69.137,1.152,25.69,0
