rank_by_cd_mdd10_first,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v12_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v12,mdd_delta_vs_short_max_v12,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
1,smv12_topmix1_16_mix16_tr3_timeout240_dd035_fail12,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66100,6244,59856,9.446293494704992,5405.3851019171725,5305.3851019171725,5405.3851019171725,5305.3851019171725,4.548796899505058,5159.505111994856,1.9494980490052638,305,305,3509,0,0,22,66122,66100,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1023.3782796994155,0.28826267902437586,1023.3782796994155,0.28826267902437586,94.707,1.578,31.127,0
2,smv12_topmix1_06_mix06_tr3_timeout240_dd035,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66101,6244,59857,9.446150587736948,5403.368906898577,5303.368906898577,5403.368906898577,5303.368906898577,4.548796899505126,5157.5806295927505,1.9495105291266959,305,305,3509,0,0,22,66123,66101,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1021.4537972973103,0.28826267902444336,1021.4537972973103,0.28826267902444336,92.124,1.535,18.371,0
3,smv12_topmix1_07_mix07_tr3_timeout240_fail12,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66079,6242,59837,9.446268860000908,5398.990854787608,5298.990854787608,5398.990854787608,5298.990854787608,4.554172654003807,5153.111489686705,1.9477542249235138,305,305,3508,0,0,48,66127,66079,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1016.9846573912646,0.2936384335231246,1016.9846573912646,0.2936384335231246,70.053,1.168,19.539,0
4,smv12_topmix1_01_mix01_tr3_timeout240,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66076,6242,59834,9.446697741994067,5397.56706520335,5297.56706520335,5397.56706520335,5297.56706520335,4.554172654003663,5151.75254193835,1.947771988795899,305,305,3508,0,0,50,66126,66076,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1015.6257096429099,0.2936384335229807,1015.6257096429099,0.2936384335229807,99.234,1.654,11.171,0
5,smv12_topmix1_09_mix09_tr3_timeout240_mintp0032,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66076,6242,59834,9.446697741994067,5397.56706520335,5297.56706520335,5397.56706520335,5297.56706520335,4.554172654003663,5151.75254193835,1.947771988795899,305,305,3508,0,0,50,66126,66076,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1015.6257096429099,0.2936384335229807,1015.6257096429099,0.2936384335229807,59.568,0.993,21.519,0
6,smv12_topmix1_08_mix08_tr3_timeout240_fail9,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66076,6242,59834,9.446697741994067,5397.550372273609,5297.550372273609,5397.550372273609,5297.550372273609,4.554172654003841,5151.736609233442,1.9477450114659949,305,305,3508,0,0,50,66126,66076,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,9,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,1015.6097769380021,0.2936384335231583,1015.6097769380021,0.2936384335231583,59.186,0.986,20.526,0
7,smv12_topmix1_03_mix03_tr3_fail12,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66323,6616,59707,9.97542330714835,5063.637543392789,4963.637543392789,5063.637543392789,4963.637543392789,3.8418212971572996,4869.101637839873,1.911836327858693,305,305,3523,0,0,48,66371,66323,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,732.9748055444325,-0.41871292332338284,732.9748055444325,-0.41871292332338284,76.381,1.273,13.893,0
8,smv12_topmix1_05_mix05_tr3_mintp0032,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66320,6615,59705,9.974366706875754,5056.839984572815,4956.839984572815,5056.839984572815,4956.839984572815,3.8418212971574883,4862.565229082321,1.9118125508442587,305,305,3523,0,0,55,66375,66320,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,726.4383967868807,-0.4187129233231941,726.4383967868807,-0.4187129233231941,89.933,1.499,16.836,0
9,smv12_topmix1_04_mix04_tr3_fail9,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66320,6615,59705,9.974366706875754,5056.82176067125,4956.82176067125,5056.82176067125,4956.82176067125,3.8418212971574106,4862.547705310491,1.9117855916393836,305,305,3523,0,0,55,66375,66320,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,9,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,True,True,True,True,True,726.4208730150513,-0.4187129233232718,726.4208730150513,-0.4187129233232718,86.618,1.444,15.337,0
10,smv12_topmix1_10_mix10_tr3_dd035_fail12,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66330,6618,59712,9.977385798281322,5046.909436007531,4946.909436007531,5046.909436007531,4946.909436007531,3.9066140851822695,4849.746161114069,1.909775138512345,305,305,3525,0,0,41,66371,66330,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,713.6193288186287,-0.35392013529841293,713.6193288186287,-0.35392013529841293,54.443,0.907,22.426,0
11,smv12_topmix1_02_mix02_tr3_dd035_freeze4,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66331,6618,59713,9.977235380139,5045.025007669775,4945.025007669775,5045.025007669775,4945.025007669775,3.906614085182336,4847.935350119176,1.909787279801628,305,305,3525,0,0,41,66372,66331,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,711.8085178237361,-0.3539201352983463,711.8085178237361,-0.3539201352983463,86.875,1.448,12.619,0
12,smv12_topmix1_12_mix12_tr3_dd035_mintp0032,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66331,6618,59713,9.977235380139,5045.025007669775,4945.025007669775,5045.025007669775,4945.025007669775,3.906614085182336,4847.935350119176,1.909787279801628,305,305,3525,0,0,41,66372,66331,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,10,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,711.8085178237361,-0.3539201352983463,711.8085178237361,-0.3539201352983463,62.5,1.042,24.4,0
13,smv12_topmix1_11_mix11_tr3_dd035_fail9,short_max,short_max/v12,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66331,6618,59713,9.977235380139,5045.006826347193,4945.006826347193,5045.006826347193,4945.006826347193,3.9066140851823583,4847.917879070703,1.9097603230546352,305,305,3525,0,0,41,66372,66331,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,200,3,9,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,711.7910467752627,-0.3539201352983241,711.7910467752627,-0.3539201352983241,55.911,0.932,23.358,0
