strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v13_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v13,mdd_delta_vs_short_max_v13,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,active_months,positive_months,negative_months,positive_month_ratio_pct,monthly_net_pnl_total,avg_month_pnl,median_month_pnl,min_month_pnl,max_month_pnl,top1_month_pnl,top3_month_pnl,top6_month_pnl,top1_month_share_pct,top3_month_share_pct,top6_month_share_pct,abs_pnl_concentration_top3_pct,active_years,positive_years,negative_years,positive_year_ratio_pct,min_year_pnl,max_year_pnl,avg_trades_per_month,general_consistency_score,status,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
smv13_fulltrain_from_preq4v3_01_ultra_01_current_v13_official,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66576,5665,60911,8.509072338380196,6965.633189715896,6865.633189715896,6965.633189715896,6865.633189715896,3.270167362093246,6737.845326582672,2.190789555708951,305,305,3526,0,0,0,66576,66576,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,1.0894430150146945,-2.2076191763531483e-06,1.0894430150146945,-2.2076191763531483e-06,74,66,8,89.1891891891892,6865.633189715901,92.7788268880527,4.297652598559347,-0.4449309967253526,1900.5178366084756,1900.5178366084756,5105.6747380620955,5987.131713323907,27.681610480665935,74.36567898369427,87.20436335416362,74.34498113645436,7,7,0,100.0,0.021230264780992845,6485.292972432358,899.6756756756756,1540.476478912047,ok,128.575,2.143,9.826,0
smv13_fulltrain_from_preq4v3_02_ultra_02_prev_full_best_stop240_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65335,5121,60214,7.838065355475625,14077.699418156972,13977.69941815697,14077.699418156972,13977.69941815697,2.6042537244609365,13711.080406741203,2.5428243653899307,306,306,2553,0,0,0,65335,65335,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,6974.3245231735455,-0.6659158452514857,6974.3245231735455,-0.6659158452514857,74,69,5,93.24324324324324,13977.699418156939,188.88782997509378,6.092636255081386,-0.6535340217813311,4155.692221420418,4155.692221420418,10797.027686897747,12470.848636508277,29.730874138144657,77.24466926848119,89.21960805873911,77.23497357409055,7,7,0,100.0,0.05237680501146412,13411.588188199941,882.9054054054054,3196.164013733591,ok,112.935,1.882,11.717,0
smv13_fulltrain_from_preq4v3_03_ultra_03_prev_full_stable_stop240_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65416,5147,60269,7.86810566222331,13882.370461623868,13782.370461623867,13882.370461623868,13782.370461623867,2.378868354448138,13552.12714386504,2.5231900790394026,306,306,2552,0,0,0,65416,65416,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,6815.371260297383,-0.8913012152642841,6815.371260297383,-0.8913012152642841,74,69,5,93.24324324324324,13782.370461623854,186.24824948140343,5.928933786019926,-0.6535340217813311,4032.358140263349,4032.358140263349,10591.518131246858,12271.815633054619,29.257362886095663,76.84830530958571,89.03994902201127,76.83852268471217,7,7,0,100.0,0.05237680501146412,13212.035472986017,884.0,3159.1107193469184,ok,85.587,1.426,13.145,0
smv13_fulltrain_from_preq4v3_04_ultra_04_preq4v3_top_stop245_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65267,5131,60136,7.861553311780839,15011.066734126567,14911.066734126567,15011.066734126567,14911.066734126567,2.2766711429508146,14669.314109541618,2.568002481390707,306,306,2387,0,0,0,65267,65267,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.45,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,7932.55822597396,-0.9934984267616076,7932.55822597396,-0.9934984267616076,74,69,5,93.24324324324324,14911.066734126643,201.50090181252222,6.277068691195926,-0.5582376414439997,4392.607119182267,4392.607119182267,11473.426190896282,13286.519862026676,29.45870471580011,76.94571015926911,89.10509287452989,76.9375125849413,7,7,0,100.0,0.051645658839410434,14305.42436063862,881.9864864864865,3419.536059318823,ok,77.997,1.3,14.451,0
smv13_fulltrain_from_preq4v3_05_ultra_05_stop245_timeout320_rr540,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65214,5115,60099,7.843407857208574,14930.534010317766,14830.534010317766,14930.534010317766,14830.534010317766,2.434435093843157,14567.059850672402,2.5778740541168776,306,306,2388,0,0,0,65214,65214,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.45,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,7830.3039671047445,-0.8357344758692653,7830.3039671047445,-0.8357344758692653,74,69,5,93.24324324324324,14830.53401031766,200.41262176104948,6.331705128533403,-0.5582376414439997,4412.746013302097,4412.746013302097,11444.187860770497,13223.254007780808,29.75446474302363,77.16639099312764,89.16235921499076,77.15812523599136,7,7,0,100.0,0.051645658839410434,14236.992750558586,881.2702702702703,3395.6997624878236,ok,66.232,1.104,15.558,0
smv13_fulltrain_from_preq4v3_06_ultra_06_stop245_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65186,5106,60080,7.832970269689811,15155.4672925213,15055.4672925213,15155.4672925213,15055.4672925213,2.5222465799262905,14773.209037063834,2.579746060112692,306,306,2387,0,0,0,65186,65186,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.45,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,8036.453153496177,-0.7479229897861317,8036.453153496177,-0.7479229897861317,74,69,5,93.24324324324324,15055.467292521276,203.45226070974698,6.668026792561976,-0.5582376414439997,4438.442688817421,4438.442688817421,11627.74319368061,13446.04367812436,29.480603973163916,77.23269539070786,89.31003878440632,77.22454608144446,7,7,0,100.0,0.051645658839410434,14458.600414399813,880.8918918918919,3443.754809315556,ok,35.878,0.598,16.158,0
smv13_fulltrain_from_preq4v3_07_ultra_07_stop247_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65196,5121,60075,7.854776366648261,15329.141368388919,15229.141368388917,15329.141368388919,15229.141368388917,2.2185026971285327,14989.063953684565,2.5949272329298414,306,306,2309,0,0,0,65196,65196,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.47,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,8252.308070116907,-1.0516668725838896,8252.308070116907,-1.0516668725838896,74,69,5,93.24324324324324,15229.14136838889,205.79920768093095,5.858729356817645,-0.5648896196849477,4550.424304059222,4550.424304059222,11748.769434152176,13594.719992721812,29.87971674821098,77.14663059428342,89.26780350821588,77.13846598375662,7,7,0,100.0,0.05135351007960185,14622.005506060294,881.027027027027,3494.072340554848,ok,26.777,0.446,16.605,0
smv13_fulltrain_from_preq4v3_08_ultra_08_stop247_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65132,5101,60031,7.831787754099367,15707.542541502815,15607.542541502815,15707.542541502815,15607.542541502815,2.381997309546613,15333.389300768327,2.608076272448389,306,306,2309,0,0,0,65132,65132,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.47,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,8596.63341720067,-0.8881722601658093,8596.63341720067,-0.8881722601658093,74,69,5,93.24324324324324,15607.542541502944,210.9127370473371,6.773727214020084,-0.5648896196849477,4634.91337784504,4634.91337784504,12104.735187152208,13970.678662332775,29.696624984491095,77.5569578296121,89.51235356355758,77.54894868024815,7,7,0,100.0,0.05135351007960185,15001.037036087222,880.1621621621622,3574.3373707872115,ok,25.276,0.421,17.027,0
smv13_fulltrain_from_preq4v3_09_ultra_09_stop250_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65129,5115,60014,7.85364430591595,15650.47653096257,15550.476530962569,15650.47653096257,15550.476530962569,2.3270974361649266,15286.274692862946,2.6230208973937623,306,306,2236,0,0,0,65129,65129,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.5,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,8549.518809295289,-0.9430721335474956,8549.518809295289,-0.9430721335474956,74,69,5,93.24324324324324,15550.476530962485,210.14157474273628,6.1288449236879945,-0.5748581376587176,4683.66685849652,4683.66685849652,12043.595802567475,13905.61906267613,30.119121103272246,77.44840345302296,89.42246261706973,77.44034105530342,7,7,0,100.0,0.0509156203893836,14941.176202313176,880.1216216216217,3563.3545736741326,ok,26.662,0.444,17.472,0
smv13_fulltrain_from_preq4v3_10_ultra_10_stop250_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65075,5098,59977,7.834037648866693,16341.600903320228,16241.600903320228,16341.600903320228,16241.600903320228,2.311506648305428,15963.86371200044,2.6351319019831965,306,306,2236,0,0,0,65075,65075,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.5,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,9227.107828432783,-0.9586629214069942,9227.107828432783,-0.9586629214069942,74,69,5,93.24324324324324,16241.600903320294,219.48109328811208,6.815438767135829,-0.5748581376587176,4855.196617536633,4855.196617536633,12634.435539542126,14563.933396836346,29.89358405269076,77.79057997268761,89.67055331262955,77.78282648204501,7,7,0,100.0,0.0509156203893836,15620.25281051706,879.3918918918919,3721.3060680001026,ok,24.703,0.412,17.885,0
