rank_by_fulltrain_cd,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v13_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v13,mdd_delta_vs_short_max_v13,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,active_months,positive_months,negative_months,positive_month_ratio_pct,monthly_net_pnl_total,avg_month_pnl,median_month_pnl,min_month_pnl,max_month_pnl,top1_month_pnl,top3_month_pnl,top6_month_pnl,top1_month_share_pct,top3_month_share_pct,top6_month_share_pct,abs_pnl_concentration_top3_pct,active_years,positive_years,negative_years,positive_year_ratio_pct,min_year_pnl,max_year_pnl,avg_trades_per_month,general_consistency_score,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
1,smv13_fulltrain_from_preq4_05_full_05_preq4_rr560_stop240_timeout320,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65332,5120,60212,7.836894630502663,14075.772070682211,13975.772070682211,14075.772070682211,13975.772070682211,2.605030631946703,13709.09389655794,2.5429357506806634,306,306,2550,0,0,0,65332,65332,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,6972.3380129902835,-0.6651389377657191,6972.3380129902835,-0.6651389377657191,74,69,5,93.24324324324324,13975.772070682164,188.86178473894816,6.09572205751309,-0.6535341280495217,4155.1233317021115,4155.1233317021115,10795.524949553988,12469.400064045389,29.730903671637353,77.24456935155966,89.22154712442124,77.2348723325925,7,7,0,100.0,0.05237688825993247,13409.685609210308,882.8648648648649,3195.7009421030334,51.128,0.852,12.797,0
2,smv13_fulltrain_from_preq4_03_full_03_preq4_top_stop240_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65413,5146,60267,7.866937764664517,13880.477144660877,13780.477144660877,13880.477144660877,13780.477144660877,2.3780963485593665,13550.38602452108,2.5232999615553506,306,306,2549,0,0,0,65413,65413,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,6813.630140953423,-0.8920732211530558,6813.630140953423,-0.8920732211530558,74,69,5,93.24324324324324,13780.477144660901,186.22266411703922,5.959369851758458,-0.6535341280495217,4031.763624521666,4031.763624521666,10590.048759890582,12270.401705555161,29.257068403351543,76.84820089116859,89.04192196501118,76.8384169355209,7,7,0,100.0,0.05237688825993247,13210.166822041398,883.9594594594595,3158.704850310657,53.628,0.894,11.039,0
3,smv13_fulltrain_from_preq4_04_full_04_preq4_bal_stop240_timeout320_rr540,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65360,5130,60230,7.848837209302325,13795.968078800397,13695.968078800397,13795.968078800397,13695.968078800397,2.371080255265856,13468.85460366118,2.5304863458252034,306,306,2549,0,0,0,65360,65360,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,6732.098720093523,-0.8990893144465661,6732.098720093523,-0.8990893144465661,74,69,5,93.24324324324324,13695.96807880033,185.08064971351797,5.58978720245365,-0.6535341280495217,4045.8458564099074,4045.8458564099074,10528.385801049877,12194.400241344281,29.5404153480204,76.87215493256384,89.03642423217757,76.86230754225842,7,7,0,100.0,0.05237688825993247,13132.680162834484,883.2432432432432,3139.69921504264,54.162,0.903,11.943,0
4,smv13_fulltrain_from_preq4_07_full_07_stop240_timeout280_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65586,5343,60243,8.146555667368036,12837.660671876387,12737.660671876387,12837.660671876387,12737.660671876387,2.5117206500305245,12515.21449780002,2.4843841876846295,306,306,2555,0,0,0,65586,65586,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,280,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,5778.458614232362,-0.7584489196818978,5778.458614232362,-0.7584489196818978,74,69,5,93.24324324324324,12737.660671876276,172.13054961994968,6.103317798930283,-0.62931353495542,3737.700403381601,3737.700403381601,9710.586764458356,11308.367840150404,29.343695829754214,76.23524456023975,88.77900056733624,76.22396533834291,7,7,0,100.0,0.04903983106036271,12180.390844010755,886.2972972972973,2917.397974149329,54.758,0.913,14.57,0
5,smv13_fulltrain_from_preq4_06_full_06_preq4_pf_mdd_stop240_timeout320_tr2,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,69804,4497,65307,6.442324222107616,12716.943035433249,12616.943035433249,12716.943035433249,12616.943035433249,2.2058272408696955,12436.42924175178,2.874790038587964,304,304,2646,0,0,0,69804,69804,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,5699.673358184124,-1.0643423288427267,5699.673358184124,-1.0643423288427267,74,69,5,93.24324324324324,12616.943035433098,170.4992302085554,6.597507631969441,-0.6846900173458677,3743.0469636228336,3743.0469636228336,9418.48971244759,11130.771257811577,29.666829382608423,74.6495382122036,88.22082517573556,74.63891926129791,7,6,1,85.71428571428571,-0.005599865601791986,12029.178621635941,943.2972972972973,2939.672496568474,51.482,0.858,13.656,0
6,smv13_fulltrain_from_preq4_08_full_08_bridge_stop235_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65556,5164,60392,7.877234730611995,12454.39372093199,12354.39372093199,12454.39372093199,12354.39372093199,2.5990552871347217,12130.697142447534,2.459304330175911,306,306,2702,0,0,0,65556,65556,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,5393.941258879877,-0.6711142825777006,5393.941258879877,-0.6711142825777006,74,70,4,94.5945945945946,12354.393720932088,166.95126649908227,5.687648207012309,-0.7849277285795523,3649.6792250317903,3649.6792250317903,9428.73090204413,10959.316747790446,29.5415485977926,76.31884748880069,88.70784755080325,76.30523283292378,7,7,0,100.0,0.02529006938648683,11819.84662103536,885.8918918918919,2868.745945849079,58.928,0.982,15.554,0
7,smv13_fulltrain_from_preq4_10_full_10_stop230_timeout320_rr540,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65678,5155,60523,7.848899174761716,11601.801959581288,11501.801959581288,11601.801959581288,11501.801959581288,2.9277285125605013,11262.132695639822,2.4217306241556122,307,307,2889,0,0,0,65678,65678,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,4525.376812072165,-0.34244105715192097,4525.376812072165,-0.34244105715192097,74,69,5,93.24324324324324,11501.801959581291,155.429756210558,5.64806333576842,-0.7631675732426515,3357.157304713665,3357.157304713665,8763.100804129968,10199.210460368578,29.188098669331268,76.18893835004769,88.67489195353758,76.17432097726983,7,7,0,100.0,0.02658290061475919,10993.545518057104,887.5405405405405,2625.294445943067,28.739,0.479,16.791,0
8,smv13_fulltrain_from_preq4_09_full_09_stop230_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,65739,5174,60565,7.870518261610307,11455.210873870186,11355.210873870186,11455.210873870186,11355.210873870186,2.974656455056257,11114.4577041703,2.416914453584086,307,307,2893,0,0,0,65739,65739,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,4377.701820602642,-0.29551311465616514,4377.701820602642,-0.29551311465616514,74,69,5,93.24324324324324,11355.210873870192,153.44879559284044,5.269039110109321,-0.7631675732426515,3335.105459685005,3335.105459685005,8640.487653240574,10071.05978353193,29.370704751591305,76.0927097630873,88.6910854883967,76.07778006864821,7,7,0,100.0,0.02658290061475919,10847.609805601429,888.3648648648649,2590.8702080667254,45.338,0.756,16.311,0
9,smv13_fulltrain_from_preq4_02_full_02_struct_stop230_rr540_timeout240,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66043,5630,60413,8.524749027148978,9356.040568825001,9256.040568825001,9356.040568825001,9256.040568825001,3.1898447590982926,9057.597399081227,2.3683605286785188,307,307,2905,0,0,0,66043,66043,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,240,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,2320.84151551357,-0.08032481061412966,2320.84151551357,-0.08032481061412966,74,69,5,93.24324324324324,9256.040568824934,125.08162930844506,5.130665652599872,-0.5269220596912799,2679.489092419921,2679.489092419921,7035.242215237039,8189.817963437764,28.948545249948975,76.0070373819696,88.4807915710926,75.99193824036354,7,7,0,100.0,0.017341527550722234,8817.125092676271,892.472972972973,2111.3993937047458,44.248,0.737,10.144,0
10,smv13_fulltrain_from_preq4_01_full_01_current_v13_official,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,66572,5664,60908,8.508081475695487,6964.507074601753,6864.507074601753,6964.507074601753,6864.507074601753,3.269394868786135,6736.809837668476,2.190937542731158,305,305,3524,0,0,0,66572,66572,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.15,5.4,240,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,True,True,True,True,True,0.05395410081837326,-0.0007747009262870641,0.05395410081837326,-0.0007747009262870641,74,66,8,89.1891891891892,6864.507074601742,92.76360911623975,4.298275372614649,-0.4449311013740893,1900.1861220777434,1900.1861220777434,5104.835191461103,5986.304222129261,27.68131930562526,74.36564834128706,87.20661450373068,74.34559053151843,7,7,0,100.0,0.021230279219228616,6484.345680320934,899.6216216216217,1540.241575786521,64.955,1.083,9.405,0
