rank_by_general_consistency,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v13_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v13,mdd_delta_vs_short_max_v13,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,active_months,positive_months,negative_months,positive_month_ratio_pct,monthly_net_pnl_total,avg_month_pnl,median_month_pnl,min_month_pnl,max_month_pnl,top1_month_pnl,top3_month_pnl,top6_month_pnl,top1_month_share_pct,top3_month_share_pct,top6_month_share_pct,abs_pnl_concentration_top3_pct,active_years,positive_years,negative_years,positive_year_ratio_pct,min_year_pnl,max_year_pnl,avg_trades_per_month,general_consistency_score,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
1,smv13_general_topcombo_pre_q4_25_topcombo_25_stop240_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53770,4169,49601,7.753394085921518,3319.030749664802,3219.030749664802,3319.030749664802,3219.030749664802,2.3712782752402295,3240.3272945494573,2.214092451393136,306,306,2076,0,0,0,53770,53770,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3496.4285890182,-0.8988912944721927,-3496.4285890182,-0.8988912944721927,71,66,5,92.95774647887323,3219.0307496648243,45.33846126288485,5.548363457385042,-0.6535341280495217,968.6547092547129,968.6547092547129,1708.9553105590842,2317.9928267982245,30.091502212446166,53.08912661791212,72.00903026600729,53.06020356658644,7,7,0,100.0,0.05237688825993247,2648.7204270453744,757.3239436619718,1413.0189445710953,50.0,0.833,28.774,45
2,smv13_general_topcombo_pre_q4_26_topcombo_26_stop240_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53705,4147,49558,7.721813611395587,3324.1642829707057,3224.1642829707052,3324.1642829707057,3224.1642829707052,2.605030631946703,3237.568785143087,2.2181429900911316,306,306,2077,0,0,0,53705,53705,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3499.18709842457,-0.6651389377657191,-3499.18709842457,-0.6651389377657191,71,66,5,92.95774647887323,3224.1642829706866,45.41076454888291,5.446592131243282,-0.6535341280495217,965.0914519704714,965.0914519704714,1717.7922763339145,2326.628626643014,29.933073108832208,53.278683267068885,72.16222321336866,53.24970311570672,7,7,0,100.0,0.05237688825993247,2658.0778214988045,756.4084507042254,1406.1111914438309,48.346,0.806,29.581,45
3,smv13_general_topcombo_pre_q4_19_topcombo_19_stop240_timeout320,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53732,4156,49576,7.734683242760367,3295.9797327798387,3195.9797327798383,3295.9797327798387,3195.9797327798383,2.371080255265856,3217.8294081183317,2.2162907917468155,306,306,2076,0,0,0,53732,53732,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3518.9264754493256,-0.8990893144465661,-3518.9264754493256,-0.8990893144465661,71,66,5,92.95774647887323,3195.979732779824,45.01379905323696,5.360541736211218,-0.6535341280495217,958.7661041947673,958.7661041947673,1694.4118953237758,2302.031208828991,29.999129667848184,53.01697873565665,72.0289676814287,52.98788677100305,7,7,0,100.0,0.05237688825993247,2632.6918168138563,756.7887323943662,1405.3663289350836,52.152,0.869,24.205,45
4,smv13_general_topcombo_pre_q4_21_topcombo_21_stop240_timeout320_dd040_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53732,4156,49576,7.734683242760367,3295.9797327798387,3195.9797327798383,3295.9797327798387,3195.9797327798383,2.371080255265856,3217.8294081183317,2.2162907917468155,306,306,2076,0,0,0,53732,53732,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,False,False,True,True,True,-3518.9264754493256,-0.8990893144465661,-3518.9264754493256,-0.8990893144465661,71,66,5,92.95774647887323,3195.979732779824,45.01379905323696,5.360541736211218,-0.6535341280495217,958.7661041947673,958.7661041947673,1694.4118953237758,2302.031208828991,29.999129667848184,53.01697873565665,72.0289676814287,52.98788677100305,7,7,0,100.0,0.05237688825993247,2632.6918168138563,756.7887323943662,1405.3663289350836,46.627,0.777,25.759,45
5,smv13_general_topcombo_pre_q4_22_topcombo_22_stop240_timeout320_dd030_freeze5,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53732,4156,49576,7.734683242760367,3295.9797327798387,3195.9797327798383,3295.9797327798387,3195.9797327798383,2.371080255265856,3217.8294081183317,2.2162907917468155,306,306,2076,0,0,0,53732,53732,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,False,False,True,True,True,-3518.9264754493256,-0.8990893144465661,-3518.9264754493256,-0.8990893144465661,71,66,5,92.95774647887323,3195.979732779824,45.01379905323696,5.360541736211218,-0.6535341280495217,958.7661041947673,958.7661041947673,1694.4118953237758,2302.031208828991,29.999129667848184,53.01697873565665,72.0289676814287,52.98788677100305,7,7,0,100.0,0.05237688825993247,2632.6918168138563,756.7887323943662,1405.3663289350836,45.274,0.755,26.515,45
6,smv13_general_topcombo_pre_q4_20_topcombo_20_stop240_timeout320_fail14,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53732,4156,49576,7.734683242760367,3294.865167009599,3194.865167009599,3294.865167009599,3194.865167009599,2.3685276637643415,3216.8253740452415,2.216149220066789,306,306,2076,0,0,0,53732,53732,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,3,0.0,14,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3519.930509522416,-0.9016419059480807,-3519.930509522416,-0.9016419059480807,71,66,5,92.95774647887323,3194.865167009613,44.99810094379736,5.347793893436368,-0.6535341280495217,958.4656818090904,958.4656818090904,1693.8552185902365,2301.2971316776743,30.00019192378664,53.0180502163627,72.03111904192451,52.98894752005305,7,7,0,100.0,0.05237688825993247,2631.677402563511,756.7887323943662,1404.8957831386156,46.436,0.774,24.98,45
7,smv13_general_topcombo_pre_q4_23_topcombo_23_stop240_timeout320_tr2,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57186,3649,53537,6.380932396040989,3304.7296535429714,3204.7296535429714,3304.7296535429714,3204.7296535429714,2.2058272408696955,3231.833026608022,2.607627411801948,304,304,2148,0,0,0,57186,57186,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3504.9228569596353,-1.0643423288427267,-3504.9228569596353,-1.0643423288427267,71,66,5,92.95774647887323,3204.7296535429386,45.13703737384421,6.14314615473969,-0.6846900173458677,943.5289486055091,943.5289486055091,1718.5578759214181,2327.3719205962975,29.441764223774864,53.62567397912936,72.62303445856371,53.59565412416861,7,6,1,85.71428571428571,-0.005599865601791986,2616.965239745675,805.4366197183099,1393.1956585608275,44.233,0.737,27.253,45
8,smv13_general_topcombo_pre_q4_28_topcombo_28_stop235_timeout320,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53868,4170,49698,7.741145021162843,3133.7273614910487,3033.7273614910487,3133.7273614910487,3033.7273614910487,2.502533824606201,3055.3047742987956,2.168191407360675,306,306,2198,0,0,0,53868,53868,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3681.4511092688617,-0.767635745106221,-3681.4511092688617,-0.767635745106221,71,67,4,94.36619718309859,3033.727361491062,42.72855438719805,5.476117657884008,-0.7849277285795523,897.6195083685973,897.6195083685973,1597.691369333152,2172.453264851238,29.588008459910576,52.66430298297783,71.61003630146541,52.626064722132995,7,7,0,100.0,0.02529006938648683,2487.02942011445,758.7042253521126,1364.7709483222857,47.247,0.787,31.108,45
9,smv13_general_topcombo_pre_q4_29_topcombo_29_stop235_timeout320_dd040_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53868,4170,49698,7.741145021162843,3133.7273614910487,3033.7273614910487,3133.7273614910487,3033.7273614910487,2.502533824606201,3055.3047742987956,2.168191407360675,306,306,2198,0,0,0,53868,53868,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,False,False,True,True,True,-3681.4511092688617,-0.767635745106221,-3681.4511092688617,-0.767635745106221,71,67,4,94.36619718309859,3033.727361491062,42.72855438719805,5.476117657884008,-0.7849277285795523,897.6195083685973,897.6195083685973,1597.691369333152,2172.453264851238,29.588008459910576,52.66430298297783,71.61003630146541,52.626064722132995,7,7,0,100.0,0.02529006938648683,2487.02942011445,758.7042253521126,1364.7709483222857,46.993,0.783,31.893,45
10,smv13_general_topcombo_pre_q4_31_topcombo_31_stop235_timeout320_fail14,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53868,4170,49698,7.741145021162843,3132.899957984794,3032.899957984794,3132.899957984794,3032.899957984794,2.5021276755987865,3054.510801087234,2.1680919649638484,306,306,2198,0,0,0,53868,53868,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.4,320,3,0.0,14,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3682.245082480423,-0.7680418941136358,-3682.245082480423,-0.7680418941136358,71,67,4,94.36619718309859,3032.8999579848005,42.71690081668733,5.476117657884008,-0.7849277285795523,897.4052769296843,897.4052769296843,1597.2851683925624,2171.9214207292966,29.589016761567105,52.665277144646495,71.61203636180674,52.62702775211464,7,7,0,100.0,0.02529006938648683,2486.2593325217154,758.7042253521126,1364.3882097585802,47.03,0.784,33.408,45
