strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,score_rsi_weight,score_wick_weight,short_dev,short_wick_mult,score_min_short,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_baseline_cd,mdd_under_10,cd_delta_vs_baseline,mdd_delta_vs_baseline,trades_delta_vs_baseline,load_errors
short_max_v7_devw120_actual_bar_engine,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,45500,6251,39249,13.738461538461538,1522.7683542126408,1422.7683542126408,1524.4317435070927,1424.4317435070927,6.104584306764704,1431.3715225256192,1.4976180824186338,299,299,3786,0,0,205,45705,45500,0.0004,0.01,1.2,0.8,0.7,0.035,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,False,True,0.0,0.0,0,0
smv8_mix_01_top1_dev_0p032,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,55795,7434,48361,13.323774531768079,1775.5848088350601,1675.58480883506,1776.0780134766933,1676.0780134766933,6.557346956687981,1659.614415911575,1.4603575800452857,308,308,4437,0,0,421,56216,55795,0.0004,0.01,1.2,0.8,0.7,0.032,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,228.24289338595577,0.45276264992327686,10295,0
smv8_mix_02_top2_stop2_rr5p5,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,44983,6290,38693,13.983060267212059,1731.2290726753595,1631.2290726753595,1732.742603186846,1632.7426031868458,5.609909317279216,1635.5373144462005,1.5333676242294587,299,299,3306,0,0,156,45139,44983,0.0004,0.01,1.2,0.8,0.7,0.035,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,204.16579192058134,-0.49467498948548805,-517,0
smv8_mix_03_top3_devw_1p30,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,50131,6785,43346,13.534539506492987,1717.7027378574555,1617.7027378574553,1718.1801671087549,1618.1801671087549,6.49328741941676,1606.6137904749683,1.4844123799268136,301,301,4014,0,0,317,50448,50131,0.0004,0.01,1.3,0.8,0.7,0.035,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,175.24226794934907,0.38870311265205526,4631,0
smv8_mix_04_top1_top2,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,55152,7466,47686,13.53713373948361,2007.9103231803851,1907.9103231803851,2008.4680614361794,1908.4680614361794,6.299113624178965,1881.9523761409698,1.4904514795372124,309,309,3887,0,0,399,55551,55152,0.0004,0.01,1.2,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,450.58085361535063,0.19452931741426038,9652,0
smv8_mix_05_top1_top3,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61409,7957,53452,12.957384096793628,1847.4350380862286,1747.4350380862286,1847.947449028888,1747.947449028888,7.336027317718807,1712.3815193510409,1.4436956857600471,306,306,4734,0,0,1228,62637,61409,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,281.0099968254217,1.231443010954103,15909,0
smv8_mix_06_top2_top3,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,49557,6820,42737,13.761930706055653,1973.9604164547263,1873.9604164547263,1974.509072089415,1874.509072089415,5.919704638946088,1857.6239669525266,1.5222639874440163,302,302,3512,0,0,252,49809,49557,0.0004,0.01,1.3,0.8,0.7,0.035,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,426.25244442690746,-0.18487966781861598,4057,0
smv8_mix_07_top1_top2_top3,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,60692,7996,52696,13.174718249522178,2088.6448993920876,1988.6448993920876,2089.2248898917555,1989.2248898917553,7.245857335271477,1937.8426349572162,1.468791593201674,306,306,4137,0,0,1155,61847,60692,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,506.471112431597,1.141273028506773,15192,0
smv8_mix_08_dev033_stop2_rr5p5_devw13,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,56624,7508,49116,13.259395309409438,1879.303390746483,1779.3033907464833,1879.8252509243152,1779.8252509243152,6.566397068841345,1756.3884607482817,1.4811369816237043,295,295,3924,0,0,1013,57637,56624,0.0004,0.01,1.3,0.8,0.7,0.033,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,325.0169382226625,0.461812762076641,11124,0
smv8_mix_09_dev034_stop2_rr5p5_devw13,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,52892,7197,45695,13.606972699084926,1985.436403058799,1885.4364030587992,1985.9879148152172,1885.987914815217,6.386954193678617,1859.143776403976,1.5002461618540814,279,279,3701,0,0,506,53398,52892,0.0004,0.01,1.3,0.8,0.7,0.034,1.3,2.35,2.0,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,427.7722538783569,0.28236988691391307,7392,0
