position_fraction,leverage,effective_notional_per_trade_pct,trades,wins,losses,win_rate_pct,avg_trade_net_ret_on_margin_pct,med_trade_net_ret_on_margin_pct,profit_factor,final_asset,final_return_pct,max_return_pct,exit_mdd_pct,official_cd_value,max_concurrent,max_notional_exposure_pct,avg_mae_underlying_pct,p95_mae_underlying_pct,p99_mae_underlying_pct,max_mae_underlying_pct,p95_worst_trade_account_loss_pct,p99_worst_trade_account_loss_pct,max_worst_trade_account_loss_pct,account_trade_loss_gt_10_pct,account_trade_loss_gt_20_pct,account_trade_loss_gt_50_pct,approx_liq_risk_pct
0.3,5.0,150.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,615.7097511245871,515.7097511245871,1705.7755622212285,75.00434860162528,451.3653645698594,15,2250.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,18.737106500121726,30.8113598126211,72.66496475942064,20.114942528735632,4.022988505747127,0.5747126436781609,1.1494252873563218
0.5,3.0,150.0,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,615.7097511245871,515.7097511245871,1705.7755622212285,75.00434860162528,451.3653645698594,15,2250.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,18.737106500121726,30.8113598126211,72.66496475942064,20.114942528735632,4.022988505747127,0.5747126436781609,0.5747126436781609
0.75,2.0,150.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,615.7097511245871,515.7097511245871,1705.7755622212285,75.00434860162528,451.3653645698594,15,2250.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,18.737106500121726,30.8113598126211,72.66496475942064,20.114942528735632,4.022988505747127,0.5747126436781609,0.0
0.1,20.0,200.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,530.3413576047437,430.34135760474373,2869.126714324632,85.47254906985442,431.33842647735463,15,3000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,24.98280866682897,41.08181308349481,96.88661967922752,27.873563218390807,9.195402298850574,0.8620689655172413,27.873563218390807
0.2,10.0,200.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,530.3413576047437,430.34135760474373,2869.126714324632,85.47254906985442,431.33842647735463,15,3000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,24.98280866682897,41.08181308349481,96.88661967922752,27.873563218390807,9.195402298850574,0.8620689655172413,9.195402298850574
1.0,2.0,200.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,530.3413576047437,430.34135760474373,2869.126714324632,85.47254906985442,431.33842647735463,15,3000.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,24.98280866682897,41.08181308349481,96.88661967922752,27.873563218390807,9.195402298850574,0.8620689655172413,0.0
0.05,20.0,100.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,466.7228546944947,366.7228546944947,770.3201599634685,58.856112851338104,358.08354444742315,15,1500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,12.491404333414485,20.540906541747404,48.44330983961376,9.195402298850574,1.1494252873563218,0.0,27.873563218390807
0.1,10.0,100.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,466.7228546944947,366.7228546944947,770.3201599634685,58.856112851338104,358.08354444742315,15,1500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,12.491404333414485,20.540906541747404,48.44330983961376,9.195402298850574,1.1494252873563218,0.0,9.195402298850574
0.2,5.0,100.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,466.7228546944947,366.7228546944947,770.3201599634685,58.856112851338104,358.08354444742315,15,1500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,12.491404333414485,20.540906541747404,48.44330983961376,9.195402298850574,1.1494252873563218,0.0,1.1494252873563218
0.5,2.0,100.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,466.7228546944947,366.7228546944947,770.3201599634685,58.856112851338104,358.08354444742315,15,1500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,12.491404333414485,20.540906541747404,48.44330983961376,9.195402298850574,1.1494252873563218,0.0,0.0
1.0,1.0,100.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,466.7228546944947,366.7228546944947,770.3201599634685,58.856112851338104,358.08354444742315,15,1500.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,12.491404333414485,20.540906541747404,48.44330983961376,9.195402298850574,1.1494252873563218,0.0,0.0
0.3,3.0,89.99999999999999,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,423.43770867473813,323.43770867473813,631.5496810234089,54.757185787126375,330.9736630602905,15,1350.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,11.242263900073034,18.48681588757266,43.59897885565238,7.183908045977011,0.8620689655172413,0.0,0.5747126436781609
0.75,3.0,225.0,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,385.75590096110926,285.75590096110926,3380.6930148211527,89.13713552331532,378.1029650494518,15,3375.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,28.105659750182593,46.21703971893166,108.99744713913097,33.04597701149425,12.068965517241379,0.8620689655172413,0.5747126436781609
0.75,1.0,75.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,357.10896717137473,257.10896717137473,454.0145175735695,47.9729110315562,288.23762595609566,15,1125.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,9.368553250060863,15.40567990631055,36.33248237971032,4.022988505747127,0.8620689655172413,0.0,0.0
0.2,3.0,60.00000000000001,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,292.68921991698573,192.68921991698576,310.81513551622623,40.3602365277408,245.00917513011836,15,900.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,7.494842600048692,12.324543925048443,29.06598590376826,2.586206896551724,0.5747126436781609,0.0,0.5747126436781609
0.3,2.0,60.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,292.68921991698534,192.68921991698537,310.8151355162257,40.36023652774078,245.00917513011817,15,900.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,7.49484260004869,12.324543925048442,29.065985903768254,2.586206896551724,0.5747126436781609,0.0,0.0
0.05,10.0,50.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,252.36931774386616,152.36931774386616,232.60454717795932,34.786683199011875,216.90245704565461,15,750.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,6.245702166707242,10.270453270873702,24.22165491980688,1.1494252873563218,0.28735632183908044,0.0,9.195402298850574
0.1,5.0,50.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,252.36931774386616,152.36931774386616,232.60454717795932,34.786683199011875,216.90245704565461,15,750.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,6.245702166707242,10.270453270873702,24.22165491980688,1.1494252873563218,0.28735632183908044,0.0,1.1494252873563218
0.5,1.0,50.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,252.36931774386616,152.36931774386616,232.60454717795932,34.786683199011875,216.90245704565461,15,750.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,6.245702166707242,10.270453270873702,24.22165491980688,1.1494252873563218,0.28735632183908044,0.0,0.0
0.02,20.0,40.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,214.9319586660043,114.93195866600429,166.7208254296096,28.786282201614288,189.94181593096718,15,600.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,4.996561733365795,8.216362616698962,19.377323935845506,0.8620689655172413,0.0,0.0,27.873563218390807
0.2,2.0,40.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,214.9319586660043,114.93195866600429,166.7208254296096,28.786282201614288,189.94181593096718,15,600.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,4.996561733365795,8.216362616698962,19.377323935845506,0.8620689655172413,0.0,0.0,0.0
0.5,5.0,250.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,199.9910027128383,99.99100271283832,3734.0997436333178,94.78388628139027,199.9910027128383,15,3750.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,31.228510833536216,51.35226635436851,121.10827459903439,35.63218390804598,14.080459770114942,1.1494252873563218,1.1494252873563218
0.3,1.0,30.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,180.81177812501363,80.81177812501363,111.82946157755929,22.333909950626616,164.51966037992997,15,450.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,3.747421300024345,6.162271962524221,14.532992951884127,0.5747126436781609,0.0,0.0,0.0
0.1,3.0,30.000000000000004,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,180.81177812501363,80.81177812501363,111.82946157755929,22.333909950626644,164.51966037992995,15,450.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,3.747421300024346,6.162271962524222,14.53299295188413,0.5747126436781609,0.0,0.0,0.5747126436781609
0.05,5.0,25.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,165.07885767820108,65.07885767820108,88.08745975679282,18.93013193574975,152.48225547023173,15,375.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,3.122851083353621,5.135226635436851,12.11082745990344,0.28735632183908044,0.0,0.0,1.1494252873563218
0.01,20.0,20.0,348,190,158,54.59770114942529,12.409562590842636,6.606663682860773,1.396730236142555,150.25337742628665,50.25337742628664,66.59528701519942,15.403523688205176,140.93374251637977,15,300.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,2.4982808666828973,4.108181308349481,9.688661967922753,0.0,0.0,0.0,27.873563218390807
0.02,10.0,20.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,150.25337742628665,50.25337742628664,66.59528701519942,15.403523688205176,140.93374251637977,15,300.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,2.4982808666828973,4.108181308349481,9.688661967922753,0.0,0.0,0.0,9.195402298850574
0.1,2.0,20.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,150.25337742628665,50.25337742628664,66.59528701519942,15.403523688205176,140.93374251637977,15,300.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,2.4982808666828973,4.108181308349481,9.688661967922753,0.0,0.0,0.0,0.0
0.2,1.0,20.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,150.25337742628665,50.25337742628664,66.59528701519942,15.403523688205176,140.93374251637977,15,300.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,2.4982808666828973,4.108181308349481,9.688661967922753,0.0,0.0,0.0,0.0
0.05,3.0,15.000000000000002,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,136.3402201748257,36.3402201748257,47.192941857936745,11.750687697225292,129.8967589478522,15,225.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,1.873710650012173,3.081135981262111,7.266496475942065,0.0,0.0,0.0,0.5747126436781609
0.01,10.0,10.0,348,190,158,54.59770114942529,6.204781295421318,3.3033318414303867,1.396730236142555,123.33566182034777,23.335661820347763,29.725134533814334,7.968170357332752,119.38841481788091,15,150.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,1.2491404333414486,2.0540906541747406,4.844330983961377,0.0,0.0,0.0,9.195402298850574
0.02,5.0,10.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,123.33566182034777,23.335661820347763,29.725134533814334,7.968170357332752,119.38841481788091,15,150.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,1.2491404333414486,2.0540906541747406,4.844330983961377,0.0,0.0,0.0,1.1494252873563218
0.05,2.0,10.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,123.33566182034777,23.335661820347763,29.725134533814334,7.968170357332752,119.38841481788091,15,150.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,1.2491404333414486,2.0540906541747406,4.844330983961377,0.0,0.0,0.0,0.0
0.1,1.0,10.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,123.33566182034777,23.335661820347763,29.725134533814334,7.968170357332752,119.38841481788091,15,150.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,1.2491404333414486,2.0540906541747406,4.844330983961377,0.0,0.0,0.0,0.0
0.02,3.0,6.0,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,113.57877932750502,13.57877932750502,17.04288325387795,4.846429604131026,111.37048231033349,15,89.99999999999999,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.749484260004869,1.2324543925048441,2.9065985903768254,0.0,0.0,0.0,0.5747126436781609
0.01,5.0,5.0,348,190,158,54.59770114942529,3.102390647710659,1.6516659207151934,1.396730236142555,111.22830204465843,11.228302044658435,14.04205568991863,4.052462499119484,109.42054414985972,15,75.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.6245702166707243,1.0270453270873703,2.4221654919806883,0.0,0.0,0.0,1.1494252873563218
0.05,1.0,5.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,111.22830204465843,11.228302044658435,14.04205568991863,4.052462499119484,109.42054414985972,15,75.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.6245702166707243,1.0270453270873703,2.4221654919806883,0.0,0.0,0.0,0.0
0.02,2.0,4.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,108.9130056684446,8.913005668444596,11.106847904862182,3.253025382137519,107.49251394122409,15,60.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.4996561733365794,0.8216362616698962,1.9377323935845503,0.0,0.0,0.0,0.0
0.01,3.0,3.0,348,190,158,54.59770114942529,1.8614343886263955,0.990999552429116,1.396730236142555,106.6327154034828,6.632715403482803,8.236141101866124,2.4480894783353393,105.58642351979515,15,44.99999999999999,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.3747421300024345,0.6162271962524221,1.4532992951884127,0.0,0.0,0.0,0.5747126436781609
0.01,2.0,2.0,348,190,158,54.59770114942529,1.2409562590842635,0.6606663682860774,1.3967302361425549,104.38724744980298,4.387247449802989,5.42909195882475,1.6376259262645354,103.70255781508176,15,30.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.2498280866682897,0.4108181308349481,0.9688661967922751,0.0,0.0,0.0,0.0
0.02,1.0,2.0,348,190,158,54.59770114942529,0.6204781295421318,0.3303331841430387,1.3967302361425549,104.38724744980298,4.387247449802989,5.42909195882475,1.6376259262645354,103.70255781508176,15,30.0,4.2806560245367935,12.491404333414485,20.540906541747404,48.44330983961376,0.2498280866682897,0.4108181308349481,0.9688661967922751,0.0,0.0,0.0,0.0
