entry_ts,entry_dt,candidate_count,long_count,short_count,selected_count_top200,rejected_count_top200
1568895000000000,1970-01-19 03:48:15,1,1,0,1,0
1569384300000000,1970-01-19 03:56:24.300000,1,1,0,1,0
1571868000000000,1970-01-19 04:37:48,1,1,0,1,0
1572051300000000,1970-01-19 04:40:51.300000,1,0,1,1,0
1572052200000000,1970-01-19 04:40:52.200000,1,0,1,1,0
1574451600000000,1970-01-19 05:20:51.600000,1,1,0,1,0
1574889000000000,1970-01-19 05:28:09,1,0,1,1,0
1576554000000000,1970-01-19 05:55:54,1,1,0,1,0
1576707000000000,1970-01-19 05:58:27,1,1,0,1,0
1579053900000000,1970-01-19 06:37:33.900000,1,0,1,1,0
1579076700000000,1970-01-19 06:37:56.700000,1,0,1,1,0
1579097100000000,1970-01-19 06:38:17.100000,1,1,0,1,0
1579273800000000,1970-01-19 06:41:13.800000,1,0,1,1,0
1579310400000000,1970-01-19 06:41:50.400000,1,0,1,1,0
1579323000000000,1970-01-19 06:42:03,1,1,0,1,0
1579394700000000,1970-01-19 06:43:14.700000,1,1,0,1,0
1579442400000000,1970-01-19 06:44:02.400000,1,0,1,1,0
1579464600000000,1970-01-19 06:44:24.600000,2,2,0,2,0
1579465200000000,1970-01-19 06:44:25.200000,1,1,0,1,0
1579465500000000,1970-01-19 06:44:25.500000,2,2,0,2,0
1579466400000000,1970-01-19 06:44:26.400000,2,2,0,2,0
1579563900000000,1970-01-19 06:46:03.900000,1,0,1,1,0
1579564500000000,1970-01-19 06:46:04.500000,1,0,1,1,0
1579702200000000,1970-01-19 06:48:22.200000,1,0,1,1,0
1579778100000000,1970-01-19 06:49:38.100000,1,1,0,1,0
1579834800000000,1970-01-19 06:50:34.800000,1,1,0,1,0
1579867200000000,1970-01-19 06:51:07.200000,1,1,0,1,0
1579898400000000,1970-01-19 06:51:38.400000,1,0,1,1,0
1579945200000000,1970-01-19 06:52:25.200000,1,1,0,1,0
1580130900000000,1970-01-19 06:55:30.900000,1,0,1,1,0
1580173500000000,1970-01-19 06:56:13.500000,1,0,1,1,0
1580253900000000,1970-01-19 06:57:33.900000,1,0,1,1,0
1580254500000000,1970-01-19 06:57:34.500000,1,0,1,1,0
1580376900000000,1970-01-19 06:59:36.900000,2,2,0,2,0
1580433600000000,1970-01-19 07:00:33.600000,1,0,1,1,0
1580505900000000,1970-01-19 07:01:45.900000,1,1,0,1,0
1580727000000000,1970-01-19 07:05:27,1,0,1,1,0
1580861400000000,1970-01-19 07:07:41.400000,1,0,1,1,0
1580862600000000,1970-01-19 07:07:42.600000,1,0,1,1,0
1580931900000000,1970-01-19 07:08:51.900000,1,0,1,1,0
1580993400000000,1970-01-19 07:09:53.400000,1,0,1,1,0
1581030300000000,1970-01-19 07:10:30.300000,1,1,0,1,0
1581032400000000,1970-01-19 07:10:32.400000,1,0,1,1,0
1581162900000000,1970-01-19 07:12:42.900000,1,1,0,1,0
1581173100000000,1970-01-19 07:12:53.100000,1,0,1,1,0
1581522600000000,1970-01-19 07:18:42.600000,1,0,1,1,0
1581524700000000,1970-01-19 07:18:44.700000,1,0,1,1,0
1581561600000000,1970-01-19 07:19:21.600000,1,0,1,1,0
1581562800000000,1970-01-19 07:19:22.800000,1,0,1,1,0
1581602700000000,1970-01-19 07:20:02.700000,1,1,0,1,0
1581614100000000,1970-01-19 07:20:14.100000,1,1,0,1,0
1581614400000000,1970-01-19 07:20:14.400000,1,1,0,1,0
1581614700000000,1970-01-19 07:20:14.700000,1,1,0,1,0
1581633300000000,1970-01-19 07:20:33.300000,1,0,1,1,0
1581634200000000,1970-01-19 07:20:34.200000,1,0,1,1,0
1581683400000000,1970-01-19 07:21:23.400000,1,0,1,1,0
1581814800000000,1970-01-19 07:23:34.800000,1,1,0,1,0
1581817200000000,1970-01-19 07:23:37.200000,2,2,0,2,0
1581817500000000,1970-01-19 07:23:37.500000,4,4,0,4,0
1581892500000000,1970-01-19 07:24:52.500000,2,2,0,2,0
1581899100000000,1970-01-19 07:24:59.100000,1,1,0,1,0
1581904200000000,1970-01-19 07:25:04.200000,1,1,0,1,0
1581904500000000,1970-01-19 07:25:04.500000,7,7,0,7,0
1581945300000000,1970-01-19 07:25:45.300000,1,1,0,1,0
1581945600000000,1970-01-19 07:25:45.600000,1,1,0,1,0
1581970800000000,1970-01-19 07:26:10.800000,2,2,0,2,0
1581979800000000,1970-01-19 07:26:19.800000,1,1,0,1,0
1581987900000000,1970-01-19 07:26:27.900000,1,0,1,1,0
1581988500000000,1970-01-19 07:26:28.500000,1,0,1,1,0
1582135200000000,1970-01-19 07:28:55.200000,1,0,1,1,0
1582179600000000,1970-01-19 07:29:39.600000,1,1,0,1,0
1582180500000000,1970-01-19 07:29:40.500000,1,1,0,1,0
1582180800000000,1970-01-19 07:29:40.800000,1,1,0,1,0
1582181700000000,1970-01-19 07:29:41.700000,3,3,0,3,0
1582359600000000,1970-01-19 07:32:39.600000,1,0,1,1,0
