experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
non_top200_reference_atr020,86832,1196.0060544860653,10.960060544860653,1222.769795270078,11.22769795270078,0.3785816288925742,1.226414423594533,-0.4094334384685051,386,386,7703,0
non_top200_atr025_cap22,85985,1189.0907175918505,10.890907175918505,1216.1948941001299,11.161948941001299,0.37853113915217773,1.2279741445882018,-0.4085841425343395,386,386,7703,0
non_top200_wick06,84827,1174.9536755478462,10.749536755478461,1202.5860399535322,11.025860399535322,0.3784997701203626,1.2295713453924209,-0.4055669979270462,386,386,7703,0
non_top200_atr020_wick06,84827,1174.9536755478462,10.749536755478461,1202.5860399535322,11.025860399535322,0.3784997701203626,1.2295713453924209,-0.4055669979270462,386,386,7703,0
non_top200_atr020_rsi10,87405,1186.0833599067444,10.860833599067444,1210.226825288764,11.10226825288764,0.37825067215834335,1.2245666863767841,-0.4100752291841936,386,386,7703,0
non_top200_atr020_short_s21,85220,1180.9166154792497,10.809166154792496,1209.18277821659,11.091827782165899,0.37859657357427834,1.2293680276184686,-0.40796968444914283,386,386,7703,0
non_top200_atr020_short_s22,83290,1181.8901391039224,10.818901391039224,1211.9901631569624,11.119901631569624,0.37913314923760355,1.2348993293119148,-0.405456550046445,386,386,7703,0
non_top200_atr020_soft_asym_short,81419,1102.4476731504174,10.024476731504173,1137.6022428433967,10.376022428433966,0.37846202974735627,1.2361461634620792,-0.4091482141739632,386,386,7241,0
non_top200_atr020_soft_asym_short_s21,79987,1105.1630505735877,10.051630505735877,1140.7598207672488,10.407598207672487,0.3789115731306337,1.2407502080054535,-0.4093182005449233,386,386,7241,0
non_top200_atr025_cap22_wick06,83721,1172.9170623442385,10.729170623442386,1204.663808067202,11.046638080672018,0.37851912901183693,1.2317091096929744,-0.4021980743511918,386,386,7703,0
non_top200_atr025_cap22_short_s21,84150,1183.0262789605517,10.830262789605518,1210.5946210740524,11.105946210740523,0.3787997623291741,1.2327167327823985,-0.40561778553966377,386,386,7703,0
non_top200_atr025_cap22_soft_asym_short,80615,1102.6831813025274,10.026831813025273,1137.9311811001028,10.379311811001028,0.3786516157042734,1.2384879502048538,-0.4104102228950016,386,386,7241,0
non_top200_atr025_cap22_soft_asym_short_s21,79110,1097.5129100303457,9.975129100303457,1136.7533003712351,10.367533003712351,0.37902919984831246,1.2415957074774875,-0.4082001689278807,386,386,7241,0
