experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
adv_baseline_earlyreduce10_r005,87135,1422.392207557046,13.22392207557046,1423.2839785497622,13.232839785497623,0.31049520858438057,1.284534482767835,-0.3917971657362854,386,386,7717,0
advb_long_only,50317,648.2725690245642,5.482725690245641,733.2470279925094,6.332470279925094,0.31498300773098553,1.360839684534853,-0.43510715184988913,386,386,3650,0
advb_short_only,36818,219.32865276361673,1.1932865276361673,219.46616120142093,1.1946616120142095,0.30433483622141344,1.1775768734978287,-0.03874414785459157,294,294,4067,0
advb_rr_only,87116,1458.7605609728998,13.587605609728998,1459.6751331609942,13.596751331609942,0.2955140272739795,1.2761578273045664,-0.38785541799438017,386,386,7511,0
advb_ema_or_rr,87138,1249.87334771222,11.498733477122201,1250.6569577391429,11.506569577391428,0.3119534531432899,1.2622740749784676,-0.3929861912202254,386,386,7756,0
advb_failfast12_r010,87139,1422.1160852547264,13.221160852547264,1423.0076831321383,13.230076831321382,0.3104580038788602,1.2844753625542507,-0.3916999464716139,386,386,7717,0
advb_cooldown12,70154,399.3491905329435,2.993491905329435,399.52801499704674,2.9952801499704673,0.3098469082304644,1.1911506573854944,-0.3898393850153531,385,385,6600,0
advb_asym_short_s22,78643,1275.1370801658702,11.751370801658702,1276.4616047198394,11.764616047198395,0.31050443141792655,1.3034553566835059,-0.39728221659102736,386,386,7255,0
advb_asym_both_balanced_l18_s24,67107,1127.129370196591,10.27129370196591,1128.614245035684,10.28614245035684,0.31037000610964577,1.3279858222755878,-0.3832831812049732,379,379,6868,0
advb_wick_or_atr_asym_both_s22,71676,1171.6436536162878,10.716436536162878,1172.3782174155997,10.723782174155996,0.3138428483732351,1.3192021277081558,-0.42428500879042996,380,380,6274,0
advb_wick_only_asym_short_s22,88158,632.909213274381,5.329092132743811,641.0172499257521,5.410172499257522,0.21749585970643617,1.253501375132313,-0.5091456349121766,387,387,33784,0
advb_rr_only_failfast10,87120,1459.0129390528086,13.590129390528086,1459.9276694697303,13.599276694697302,0.2954775022956841,1.2761747324126367,-0.3876976677941407,386,386,7511,0
advb_ema_or_rr_cooldown12,70161,370.7724100800207,2.7077241008002066,370.938438155471,2.7093843815547096,0.3113838172203931,1.1764270577070821,-0.3908591351547247,385,385,6629,0
advb_asym_both_cooldown12,60954,408.5684954572998,3.085684954572998,408.7514482314174,3.087514482314174,0.3089214817731404,1.229028162684065,-0.38618308298006476,378,378,5902,0
advb_strict_combo,53934,356.7044647395202,2.5670446473952016,356.9196256217794,2.569196256217794,0.31238179997775056,1.2211838259203027,-0.380892603585006,378,378,5930,0
