experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
rrcore_baseline,87120,1459.0129390528086,13.590129390528086,1459.9276694697303,13.599276694697302,0.2954775022956841,1.2761747324126367,-0.3876976677941407,386,386,7511,0
rrcore_no_failfast,87116,1458.7605609728998,13.587605609728998,1459.6751331609942,13.596751331609942,0.2955140272739795,1.2761578273045664,-0.38785541799438017,386,386,7511,0
rrcore_no_earlyreduce,86770,781.6249382733656,6.816249382733656,812.4816827164373,7.1248168271643735,0.4170104874956782,1.161093797403725,-0.5104571286317692,386,386,7499,0
rrcore_timeout18,87155,1417.8712428841097,13.178712428841097,1418.303682651846,13.18303682651846,0.3358958177958809,1.2682567627496986,-0.37970981714132424,386,386,7511,0
rrcore_timeout40,87113,1502.8664328425366,14.028664328425366,1503.8086572751617,14.038086572751617,0.267296499948343,1.2711178055057297,-0.38945827945360445,386,386,7511,0
rrcore_rr15,87196,834.2477692796574,7.3424776927965745,834.7708022078674,7.347708022078674,0.33470572044589203,1.2152387080732785,-0.38392680331580964,386,386,8383,0
rrcore_rr30,87100,1914.1920712307528,18.141920712307527,1915.5170120408964,18.155170120408965,0.28784156142365097,1.3136522044705916,-0.36079566047193345,387,387,7356,0
rrcore_wick_or_atr,86653,1542.0635511658825,14.420635511658825,1543.0303502924162,14.430303502924161,0.2984201354829031,1.2896762220061357,-0.42390921248582025,391,391,6807,0
rrcore_asym_short_s22,78631,1312.6496051925924,12.126496051925924,1313.4725728911578,12.134725728911578,0.29717287075072174,1.2941901910258493,-0.3883986531305942,386,386,7091,0
rrcore_asym_both_balanced,67100,1145.4003753309182,10.454003753309182,1146.1184858663523,10.461184858663524,0.29998509687034275,1.3180656206889731,-0.3772264420844741,379,379,6719,0
rrcore_wick_or_atr_asym_short_s22,78191,1376.2296865160922,12.762296865160922,1377.092515844901,12.77092515844901,0.30025194715504344,1.3072958823986218,-0.42335140307520003,391,391,6403,0
rrcore_timeout40_rr30,87086,2140.32885949097,20.4032885949097,2141.762596786411,20.41762596786411,0.25432331258755714,1.3152661713093794,-0.36625687814124563,387,387,7356,0
rrcore_timeout18_rr15,87220,844.3194132539018,7.443194132539018,844.5769241476413,7.4457692414764125,0.36196973171290986,1.2129006562998208,-0.37739170570122627,386,386,8383,0
