experiment_group,experiment,strategy,symbols,trades,final_asset,final_return_pct,peak_asset,peak_growth_pct,win_rate_pct,pf,mdd_pct,max_conc,position_fraction,fee_per_side,summary_path,delta_final_return_pct,delta_pf,delta_mdd_pct,delta_max_conc,return_retention_pct,mdd_improved,pf_improved,conc_reduced,verdict
json_only_short_strict,rr60_t200_baseline,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_baseline,,85277.0,4178.5800790421035,4078.5800790421035,4181.379086939039,4081.3790869390386,14.07648017636643,1.3950117906001505,-32.95030582954689,383.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_baseline/summary.json,0.0,0.0,0.0,0.0,100.0,False,False,False,baseline
json_only_short_strict,rr60_t300,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t300,,84727.0,4967.82949085781,4867.82949085781,4971.046839886219,4871.046839886219,12.214524295679063,1.4027743566361985,-31.41923861249163,385.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t300/summary.json,789.2494118157065,0.00776256603604808,1.5310672170552628,2.0,119.35108288963814,True,True,False,hold
json_only_short_strict,rr60_t200_short_only,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_short_only,,36505.0,494.28340156038536,394.28340156038536,494.614495645555,394.614495645555,14.543213258457746,1.405049645188992,-7.779240067236259,294.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_short_only/summary.json,-3684.2966774817182,0.010037854588841544,25.171065762310633,-89.0,9.66717322988021,True,True,True,fail
json_only_short_strict,rr60_t200_asym_both_balanced,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_asym_both_balanced,,65962.0,2936.622894014362,2836.622894014362,2938.524758970122,2838.524758970122,14.509869318698646,1.455750036030081,-31.26578731591467,376.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_asym_both_balanced/summary.json,-1241.9571850277416,0.06073824542993056,1.68451851363222,-7.0,69.54927545962447,True,True,True,fail
json_only_short_strict,rr60_t200_no_failfast,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_no_failfast,,85272.0,4171.471800591405,4071.471800591404,4174.266047031781,4074.2660470317815,14.077305563373674,1.3944860311868188,-32.95993216618288,383.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_no_failfast/summary.json,-7.108278450699345,-0.0005257594133316612,-0.009626336635989219,0.0,99.82571683495378,False,False,False,fail
json_only_short_strict,rr60_t200_asym_short_s22,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_asym_short_s22,,77154.0,3522.1705236229277,3422.1705236229277,3524.45161075221,3424.4516107522104,14.207947740881874,1.4146914203067378,-33.42877779397123,383.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_asym_short_s22/summary.json,-656.4095554191758,0.01967962970658732,-0.4784719644243367,0.0,83.90592944853151,False,True,False,fail
json_only_short_strict,rr80_t200,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr80_t200,,84719.0,4178.050355625797,4078.050355625797,4195.121126587842,4095.121126587842,13.917775233418714,1.3916765276162386,-33.57703672525309,385.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr80_t200/summary.json,-0.5297234163067515,-0.0033352629839118464,-0.6267308957061957,2.0,99.98701206287383,False,False,False,fail
json_only_short_strict,rr80_t300,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr80_t300,,83941.0,4815.629877190406,4715.629877190406,4839.214047486503,4739.214047486503,11.885729262219892,1.3957589699002972,-33.61547179363463,385.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr80_t300/summary.json,637.0497981483022,0.000747179300146783,-0.6651659640877412,2.0,115.61940150254253,False,True,False,fail
json_only_short_strict,rr60_t200_wick_or_atr,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_wick_or_atr,,84729.0,4313.484000651995,4213.484000651995,4316.277571482896,4216.277571482896,14.260760778481984,1.4088887237404872,-36.88719658058586,388.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_wick_or_atr/summary.json,134.90392160989177,0.013876933140336778,-3.936890751038966,5.0,103.30761978422586,False,True,False,fail
json_only_short_strict,rr60_t200_ema_or_rr,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_ema_or_rr,,87040.0,1509.8598539439677,1409.8598539439677,1510.80646291276,1410.80646291276,25.179227941176467,1.2713839901139166,-37.33871461953243,386.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_ema_or_rr/summary.json,-2668.720225098136,-0.1236278004862339,-4.38840878998554,3.0,34.56741872468243,False,False,False,fail
json_only_short_strict,rr60_t200_no_earlyreduce,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_no_earlyreduce,,83088.0,2899.165491535514,2799.165491535514,2901.724318892557,2801.724318892557,25.73777200077027,1.201229580015191,-45.442891795043614,385.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_no_earlyreduce/summary.json,-1279.4145875065897,-0.19378221058495937,-12.492585965496723,2.0,68.63088225039648,False,False,False,fail
json_only_short_strict,rr60_t200_long_only,overextension_reversion_v1_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous_rr60_t200_long_only,,50005.0,865.9536003416991,765.9536003416993,993.2071688347368,893.2071688347368,13.646635336466353,1.3383339772044796,-47.50468785550026,386.0,0.01,0.0004,results_json_only_timeout18_time_reduce_v40_rr60_t200_adventurous/rr60_t200_long_only/summary.json,-3312.6264787004043,-0.056677813395670906,-14.554382025953366,3.0,18.779908338138878,False,False,False,fail
