experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
struct_rr60_t300_baseline,84727,4967.82949085781,48.6782949085781,4971.046839886219,48.71046839886218,0.12214524295679063,1.4027743566361985,-0.3141923861249163,385,385,7164,0
struct_skip_total_burst,77453,2352.1236879729727,22.521236879729727,2353.6470097528604,22.536470097528603,0.1185105806101765,1.3315253518861152,-0.2077164836595916,258,258,7164,0
struct_skip_short_burst,84325,4096.833927536392,39.968339275363924,4099.4871878144595,39.99487187814459,0.1204150607767566,1.3810640034336035,-0.41349099617926144,385,385,7164,0
struct_block_dominant_short,84090,4226.690239892422,41.26690239892422,4229.427599892744,41.29427599892744,0.12069211559043881,1.3853118580494777,-0.40884499326709867,385,385,7164,0
struct_block_dominant_any,74248,1946.9128161695253,18.469128161695252,1948.173708490613,18.48173708490613,0.11733649391229393,1.3469371075447114,-0.21043691852891666,258,258,7164,0
struct_minority_only_on_conflict,83643,3210.80213447055,31.1080213447055,3212.8815679830645,31.128815679830645,0.12154035603696663,1.2974768761157836,-0.2273882658965931,385,385,7164,0
struct_active_freeze,84707,4959.825227564417,48.59825227564417,4963.037392737626,48.63037392737626,0.12215047162572161,1.4025266955810831,-0.3141923861249163,385,385,7164,0
struct_active_short_bias_block,84673,4877.349492611304,47.773494926113045,4880.508243466207,47.80508243466207,0.12196331770458116,1.4009805093927932,-0.3268537475898684,385,385,7164,0
struct_short_burst_plus_freeze,84305,4090.233029199253,39.90233029199253,4092.882014492865,39.92882014492865,0.12041990392028942,1.3808074047625616,-0.41349099617926144,385,385,7164,0
struct_dominant_short_plus_freeze,84070,4219.880114544546,41.19880114544546,4222.613064057308,41.22613064057308,0.12069703818246699,1.3850568007864288,-0.40884499326709867,385,385,7164,0
struct_minority_plus_active_bias,83589,3152.323200756794,30.52323200756794,3154.364761161765,30.543647611617647,0.12135568077139336,1.2958962695123117,-0.2256361163674575,385,385,7164,0
struct_defense_combo,84070,4219.880114544546,41.19880114544546,4222.613064057308,41.22613064057308,0.12069703818246699,1.3850568007864288,-0.40884499326709867,385,385,7164,0
