experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
long_arch_baseline,50294,798.9346991365803,6.989346991365803,911.4511618327471,8.114511618327471,0.2589374478068955,1.3592897522413956,-0.4203526432559399,386,386,3554,0
long_arch_timeout18_rr15,50368,434.7687982351368,3.347687982351368,484.94472830927447,3.8494472830927444,0.3630281130876747,1.262907744023465,-0.42021837089318315,386,386,3836,0
long_arch_rr15_t40,50345,408.87601549265986,3.0887601549265984,459.84622893263196,3.59846228932632,0.3094051047770384,1.2498450719921803,-0.44815631884992924,386,386,3836,0
long_arch_rr30_t60,50278,778.978037813824,6.78978037813824,887.5156203953893,7.8751562039538925,0.22711722821114602,1.3430597881797606,-0.4306514546529636,386,386,3554,0
long_arch_ema_or_rr,50318,618.0927090818252,5.180927090818252,703.4887961410942,6.034887961410942,0.28941929329464605,1.3345273649216363,-0.43899033062840676,386,386,3650,0
long_arch_wick_or_atr,50033,767.0159083305123,6.670159083305123,869.3440850592445,7.693440850592445,0.2622069434173446,1.3537582268310548,-0.4529934258617183,391,391,3138,0
long_arch_no_failfast,50289,798.632677717919,6.98632677717919,911.2320413039496,8.112320413039496,0.2590029628745849,1.3591418060828508,-0.4203662119872146,386,386,3554,0
long_arch_no_earlyreduce,49985,564.7372447250258,4.647372447250258,693.7143841397725,5.937143841397725,0.40470141042312696,1.1951280758290694,-0.5357599581984049,386,386,3541,0
long_arch_asym_long_l18,42429,706.7189060103582,6.067189060103582,802.6025049305691,7.026025049305691,0.2630276461853921,1.4000500939698002,-0.41365772236877807,379,379,3184,0
long_arch_asym_long_l18_ema_or_rr,42444,561.9295137111077,4.619295137111077,635.7421894040884,5.357421894040884,0.2877909716332108,1.371511669821437,-0.43584323807813585,379,379,3263,0
long_arch_asym_long_l18_timeout18_rr15,42476,394.157971125379,2.94157971125379,438.8930556451029,3.3889305564510286,0.36498257839721254,1.2864271882374898,-0.41607696819946793,379,379,3439,0
