experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
long_div_baseline_lossbrake,42702,295.5500240509946,1.955500240509946,320.96232080914217,2.2096232080914215,0.49386445599737716,1.2373131402314168,-0.38734438015997497,379,379,4920,0
long_div_confirmation24,31511,240.23187751040618,1.402318775104062,247.8595862712831,1.4785958627128308,0.4958268541144362,1.259198916089305,-0.2914524322189168,255,255,4920,0
long_div_first_after_quiet48,11191,129.13935592991396,0.2913935592991397,135.85161195744513,0.3585161195744513,0.4883388437136985,1.2617871056102212,-0.1660179517598266,324,324,4920,0
long_div_reentry_gap48,11436,129.0992535261513,0.29099253526151303,135.89099384465118,0.35890993844651176,0.4875830710038475,1.255166020147761,-0.16847177631187593,325,325,4920,0
long_div_us_hours_only,15951,237.65034165701383,1.3765034165701384,261.7493013522495,1.6174930135224952,0.5533195410946022,1.59247298480202,-0.15347994197837056,242,242,4920,0
long_div_asia_hours_only,26751,124.36339118651227,0.24363391186512273,135.05653666274415,0.35056536662744153,0.4584127696160891,1.0917473976174263,-0.33934322092462366,379,379,4920,0
long_div_confirmation_plus_reentry,8680,151.4271534292964,0.514271534292964,156.10224228549046,0.5610224228549046,0.5129032258064516,1.574940715649322,-0.0729221489751739,156,156,4920,0
long_div_quiet_plus_reentry,11191,129.13935592991396,0.2913935592991397,135.85161195744513,0.3585161195744513,0.4883388437136985,1.2617871056102212,-0.1660179517598266,324,324,4920,0
long_div_dense_skip30,25697,143.3156472214976,0.4331564722149761,143.59349538419022,0.4359349538419022,0.4828968362065611,1.1389450197991482,-0.07850458026129392,146,146,4920,0
long_div_dense_skip30_confirm,21360,149.3508372519151,0.4935083725191509,150.26709837962312,0.5026709837962313,0.49030898876404494,1.181951888408578,-0.06840189627157489,141,141,4920,0
