strategy,final_equity,return_pct,mdd_pct,trades,max_positions,best_symbol,worst_symbol
EER,9132.99,-8.6701,-8.98,11512,4,BOB,LTC
WPF,8147.33,-18.5267,-18.75,24118,6,SENT,LINK
IBRF,7221.03,-27.7897,-27.87,43826,7,IRYS,LINK
TBR,6869.05,-31.3095,-31.32,45414,8,BOB,LINK
SBWS_X,6087.26,-39.1274,-39.21,57608,8,BOB,LINK
HPR,5865.49,-41.3451,-41.41,69633,NA,NA,NA
FER,5854.46,-41.4554,-41.54,65627,NA,IRYS,NA
BER,5711.17,-42.8883,-42.93,63861,NA,NA,NA
CLF,5609.46,-43.9054,-43.98,80036,NA,NA,NA
DPF,5111.10,-48.889,-49.02,81801,NA,NA,NA
